t,rtt_ms
0.0,1.06
0.5,5.49
1.0,4.82
1.5,5.72
2.0,5.81
2.5,5.79
3.0,5.79
3.5,5.67
4.0,7.56
4.5,7.48
5.0,8.1
5.5,8.46
6.0,3.59
6.5,4.62
7.0,4.76
7.5,4.95
8.0,5.59
8.5,5.75
9.0,5.99
9.5,6.75
10.0,7.11
10.5,7.72
11.0,7.85
11.5,7.7
12.0,7.82
12.5,8.19
13.0,8.25
13.5,8.68
14.0,8.65
14.5,8.87
15.0,8.8
15.5,8.04
16.0,8.71
16.5,8.62
17.0,8.97
17.5,4.6
18.0,5.08
18.5,5.76
19.0,7.95
19.5,6.13
20.0,9.19
20.5,4.91
21.0,5.39
21.5,5.92
22.0,6.8
22.5,6.71
23.0,6.87
23.5,6.93
24.0,6.92
24.5,6.91
25.0,7.8
25.5,7.81
26.0,7.79
26.5,8.15
27.0,8.84
27.5,8.99
28.0,4.3
28.5,6.66
29.0,4.88
29.5,4.81
30.0,4.86
30.5,5.47
31.0,6.55
31.5,6.79
32.0,7.87
32.5,8.49
33.0,4.58
33.5,4.64
34.0,4.6
34.5,4.86
35.0,4.88
35.5,4.8
36.0,4.81
36.5,5.09
37.0,5.73
37.5,5.52
38.0,5.89
38.5,6.49
39.0,7.1
39.5,13.4
40.0,9.02
40.5,9.39
41.0,8.86
41.5,9.68
42.0,10.5
42.5,10.3
43.0,10.3
43.5,9.98
44.0,9.5
44.5,8.62
45.0,11.7
45.5,9.79
46.0,9.53
46.5,8.79
47.0,9.0
47.5,9.86
48.0,9.62
48.5,10.3
49.0,11.0
49.5,12.0
50.0,12.6
50.5,10.3
51.0,10.9
51.5,8.24
52.0,9.36
52.5,9.56
53.0,8.47
53.5,10.0
54.0,10.2
54.5,10.5
55.0,11.2
55.5,11.4
56.0,12.2
56.5,12.0
57.0,8.75
57.5,9.17
58.0,6.25
58.5,11.3
59.0,8.26
59.5,7.71
60.0,5.2
60.5,8.15
61.0,10.7
61.5,13.3
62.0,13.6
62.5,13.9
63.0,11.8
63.5,8.91
64.0,10.2
64.5,12.1
65.0,11.2
65.5,9.89
66.0,11.1
66.5,9.85
67.0,11.1
67.5,10.5
68.0,10.4
68.5,11.1
69.0,10.7
69.5,11.3
70.0,12.1
70.5,9.8
71.0,8.1
71.5,12.9
72.0,11.6
72.5,9.18
73.0,9.9
73.5,6.91
74.0,9.53
74.5,11.4
75.0,12.2
75.5,9.24
76.0,7.38
76.5,6.23
77.0,10.6
77.5,8.92
78.0,8.23
78.5,10.2
79.0,10.4
79.5,5.99
80.0,11.8
80.5,11.7
81.0,15.1
81.5,15.3
82.0,16.2
82.5,14.3
83.0,14.1
83.5,12.4
84.0,15.2
84.5,15.4
85.0,16.2
85.5,16.5
86.0,14.6
86.5,14.4
87.0,15.1
87.5,14.0
88.0,13.6
88.5,15.5
89.0,15.3
89.5,14.1
