t,mbps
40.0,59.8
41.0,54.5
42.0,55.6
43.0,54.5
44.0,54.5
45.0,54.5
46.0,51.4
47.0,51.4
48.0,50.3
49.0,55.6
50.0,50.3
51.0,51.4
52.0,51.4
53.0,54.5
54.0,51.4
55.0,54.5
56.0,51.4
57.0,54.5
58.0,50.3
59.0,51.4
60.0,51.4
61.0,54.5
62.0,51.4
63.0,54.5
64.0,54.5
65.0,54.5
66.0,55.6
67.0,54.5
68.0,54.5
69.0,54.5
70.0,54.5
71.0,55.6
72.0,57.7
73.0,51.4
74.0,54.5
75.0,54.5
76.0,58.7
77.0,54.5
78.0,54.5
79.0,55.6
80.0,54.5
81.0,54.5
82.0,47.2
83.0,51.4
84.0,51.4
85.0,50.3
86.0,51.4
87.0,51.4
88.0,51.4
89.0,47.2
90.0,53.3
