event,t,timestamp,value
metering_started,19.447,1778981645.523462,3
threshold_crossed,19.447,1778981645.523462,113.33
attack_detected,19.447,1778981645.523462,113.33
mitigation_active,19.447,1778981645.523462,113.33
escalation_started,27.649,1778981653.725914,3
threshold_cleared,65.475,1778981691.551629,70.67
attack_cleared,70.579,1778981696.656269,0.0
valid_traffic_started,1.639,1778981626.321512683,both
attack_started,16.750,1778981641.432539817,scapy
attack_ended,63.978,1778981688.660830731,scapy
