t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.002,1778981626.079334,NORMAL,False,0,0,0,0,0,0,0,0,0
1.058,1778981627.135286,NORMAL,False,0,0,0,0,0,0,0,0,0
2.077,1778981628.153525,NORMAL,False,0,0,0,0,0,0,0,0,0
3.114,1778981629.190982,NORMAL,False,0,0,0,0,0,0,0,0,0
4.133,1778981630.209755,NORMAL,False,0,0,0,0,0,0,0,0,0
5.159,1778981631.235445,NORMAL,False,0,0,0,0,0,0,0,0,0
6.176,1778981632.253168,NORMAL,False,0,0,0,0,0,0,0,0,0
7.193,1778981633.270319,NORMAL,False,0,0,0,0,0,0,0,0,0
8.211,1778981634.288004,NORMAL,False,0,0,0,0,0,0,0,0,0
9.229,1778981635.305434,NORMAL,False,0,0,0,0,0,0,0,0,0
10.248,1778981636.324768,NORMAL,False,0,0,0,0,0,0,0,0,0
11.267,1778981637.343878,NORMAL,False,0,0,0,0,0,0,0,0,0
12.294,1778981638.371304,NORMAL,False,0,0,0,0,0,0,0,0,0
13.313,1778981639.389606,NORMAL,False,0,0,0,0,0,0,0,0,0
14.339,1778981640.416198,NORMAL,False,0,0,0,0,0,0,0,0,0
15.358,1778981641.434726,NORMAL,False,0,0,0,0,0,0,0,0,0
16.392,1778981642.469218,NORMAL,False,0,0,0,0,0,0,0,0,0
17.41,1778981643.486871,NORMAL,False,0,0,0,0,0,0,0,0,0
18.427,1778981644.503825,NORMAL,False,0,0,0,0,0,0,0,0,0
19.447,1778981645.523462,METERING,False,13,12,1,0,0,0,1,3,0
20.489,1778981646.566205,METERING,False,169,168,1,0,0,0,1,3,0
21.507,1778981647.583466,METERING,False,421,420,1,0,0,0,1,3,0
22.524,1778981648.600981,METERING,False,649,648,1,0,0,0,1,3,0
23.558,1778981649.634905,METERING,False,829,828,1,0,0,0,1,3,0
24.577,1778981650.653841,METERING,False,1141,1140,1,0,0,0,1,3,0
25.606,1778981651.682441,METERING,False,1453,1452,1,0,0,0,1,3,0
26.623,1778981652.699613,METERING,False,1609,1608,1,0,0,0,1,3,0
27.649,1778981653.725914,LOCKDOWN,True,1825,1824,1,0,0,0,1,3,3
28.677,1778981654.753766,LOCKDOWN,True,2113,2112,1,0,0,0,1,3,3
29.696,1778981655.772951,LOCKDOWN,True,2243,2242,1,0,0,0,1,3,3
30.721,1778981656.797912,LOCKDOWN,True,2528,2527,1,0,0,0,1,3,3
31.744,1778981657.820751,LOCKDOWN,True,2785,2784,1,0,0,0,1,3,3
32.761,1778981658.83824,LOCKDOWN,True,2918,2917,1,0,0,0,1,3,3
33.783,1778981659.859482,LOCKDOWN,True,3121,3120,1,0,0,0,1,3,3
34.807,1778981660.884106,LOCKDOWN,True,3301,3300,1,0,0,0,1,3,3
35.825,1778981661.901529,LOCKDOWN,True,3529,3528,1,0,0,0,1,3,3
36.85,1778981662.926981,LOCKDOWN,True,3815,3814,1,0,0,0,1,3,3
37.873,1778981663.950315,LOCKDOWN,True,4057,4056,1,0,0,0,1,3,3
38.898,1778981664.974813,LOCKDOWN,True,4213,4212,1,0,0,0,1,3,3
39.916,1778981665.992594,LOCKDOWN,True,4376,4375,1,0,0,0,1,3,3
40.935,1778981667.011466,LOCKDOWN,True,4618,4617,1,0,0,0,1,3,3
41.96,1778981668.036865,LOCKDOWN,True,4897,4896,1,0,0,0,1,3,3
42.984,1778981669.061125,LOCKDOWN,True,5173,5172,1,0,0,0,1,3,3
44.001,1778981670.078344,LOCKDOWN,True,5373,5372,1,0,0,0,1,3,3
45.025,1778981671.102097,LOCKDOWN,True,5641,5640,1,0,0,0,1,3,3
46.057,1778981672.133817,LOCKDOWN,True,5846,5845,1,0,0,0,1,3,3
47.075,1778981673.151613,LOCKDOWN,True,5973,5972,1,0,0,0,1,3,3
48.105,1778981674.182288,LOCKDOWN,True,6157,6156,1,0,0,0,1,3,3
49.123,1778981675.199664,LOCKDOWN,True,6421,6420,1,0,0,0,1,3,3
50.151,1778981676.227513,LOCKDOWN,True,6697,6696,1,0,0,0,1,3,3
51.17,1778981677.246424,LOCKDOWN,True,6961,6960,1,0,0,0,1,3,3
52.189,1778981678.266354,LOCKDOWN,True,7153,7152,1,0,0,0,1,3,3
53.208,1778981679.285096,LOCKDOWN,True,7345,7344,1,0,0,0,1,3,3
54.228,1778981680.30481,LOCKDOWN,True,7453,7452,1,0,0,0,1,3,3
55.246,1778981681.322867,LOCKDOWN,True,7568,7567,1,0,0,0,1,3,3
56.266,1778981682.342824,LOCKDOWN,True,7681,7680,1,0,0,0,1,3,3
57.29,1778981683.367198,LOCKDOWN,True,7813,7812,1,0,0,0,1,3,3
58.309,1778981684.385388,LOCKDOWN,True,7941,7940,1,0,0,0,1,3,3
59.338,1778981685.415063,LOCKDOWN,True,8161,8160,1,0,0,0,1,3,3
60.357,1778981686.434003,LOCKDOWN,True,8453,8452,1,0,0,0,1,3,3
61.385,1778981687.462253,LOCKDOWN,True,8737,8736,1,0,0,0,1,3,3
62.406,1778981688.482621,LOCKDOWN,True,9017,9016,1,0,0,0,1,3,3
63.429,1778981689.505464,LOCKDOWN,True,9245,9244,1,0,0,0,1,3,3
64.457,1778981690.533578,LOCKDOWN,True,9249,9248,1,0,0,0,1,3,3
65.475,1778981691.551629,LOCKDOWN,True,9249,9248,1,0,0,0,1,3,3
66.493,1778981692.570237,LOCKDOWN,True,9249,9248,1,0,0,0,1,3,3
67.511,1778981693.587591,LOCKDOWN,True,9249,9248,1,0,0,0,1,3,3
68.535,1778981694.612072,LOCKDOWN,True,9249,9248,1,0,0,0,1,3,3
69.553,1778981695.629684,LOCKDOWN,True,9249,9248,1,0,0,0,1,3,3
70.579,1778981696.656269,METERING,False,9249,9248,1,0,0,0,1,2,2
71.6,1778981697.677133,METERING,False,9249,9248,1,0,0,0,1,2,2
72.627,1778981698.703504,METERING,False,9249,9248,1,0,0,0,1,2,2
73.645,1778981699.721748,METERING,False,9249,9248,1,0,0,0,1,2,2
74.662,1778981700.739294,METERING,False,9249,9248,1,0,0,0,1,2,2
75.681,1778981701.758136,METERING,False,9249,9248,1,0,0,0,1,2,2
76.699,1778981702.77572,NORMAL,False,9249,9248,1,0,0,0,1,2,2
77.723,1778981703.799999,NORMAL,False,9249,9248,1,0,0,0,1,2,2
78.763,1778981704.840001,NORMAL,False,9249,9248,1,0,0,0,1,2,2
79.782,1778981705.858989,NORMAL,False,9249,9248,1,0,0,0,1,2,2
80.813,1778981706.889455,NORMAL,False,9249,9248,1,0,0,0,1,2,2
81.831,1778981707.90765,NORMAL,False,9249,9248,1,0,0,0,1,2,2
82.857,1778981708.933871,NORMAL,False,9249,9248,1,0,0,0,1,2,2
83.875,1778981709.951978,NORMAL,False,9249,9248,1,0,0,0,1,2,2
84.893,1778981710.969828,NORMAL,False,9249,9248,1,0,0,0,1,2,2
85.911,1778981711.987573,NORMAL,False,9249,9248,1,0,0,0,1,2,2
86.929,1778981713.005779,NORMAL,False,9249,9248,1,0,0,0,1,2,2
87.948,1778981714.02495,NORMAL,False,9249,9248,1,0,0,0,1,2,2
88.965,1778981715.042339,NORMAL,False,9249,9248,1,0,0,0,1,2,2
89.993,1778981716.069582,NORMAL,False,9249,9248,1,0,0,0,1,2,2
