t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.002,1778981626.079334,eth0,2435.4809,4870.9618,7306.4427,1196725,1157747,1.0132,6.1049,7.1181,636135122,126739107,0,0,0,0
1.058,1778981627.135286,eth0,34.0925,38.8275,72.92,1196761,1157788,0.045,0.0606,0.1056,636141058,126747107,0,0,0,0
2.077,1778981628.153525,eth0,19.6417,26.5163,46.1581,1196781,1157815,0.0273,0.0273,0.0547,636144538,126750585,0,0,0,0
3.114,1778981629.190982,eth0,13.4945,15.4223,28.9169,1196795,1157831,0.0086,0.0151,0.0238,636145658,126752545,0,0,0,0
4.133,1778981630.209755,eth0,10.7973,18.6499,29.4472,1196806,1157850,0.0071,0.0203,0.0274,636146562,126755127,0,0,0,0
5.159,1778981631.235445,eth0,7.7996,12.6744,20.474,1196814,1157863,0.0053,0.0136,0.0189,636147246,126756865,0,0,0,0
6.176,1778981632.253168,eth0,9.8259,15.7214,25.5472,1196824,1157879,0.0061,0.0168,0.0229,636148022,126758997,0,0,0,0
7.193,1778981633.270319,eth0,12.7808,16.7134,29.4941,1196837,1157896,0.0076,0.0175,0.0251,636148982,126761223,0,0,0,0
8.211,1778981634.288004,eth0,10.8088,15.7219,26.5308,1196848,1157912,0.0067,0.0169,0.0236,636149830,126763375,0,0,0,0
9.229,1778981635.305434,eth0,10.8116,15.7259,26.5375,1196859,1157928,0.0064,0.0168,0.0232,636150646,126765507,0,0,0,0
10.248,1778981636.324768,eth0,9.8103,15.6965,25.5068,1196869,1157944,0.0067,0.0168,0.0235,636151498,126767651,0,0,0,0
11.267,1778981637.343878,eth0,10.7937,18.6437,29.4375,1196880,1157963,0.0062,0.0202,0.0264,636152294,126770221,0,0,0,0
12.294,1778981638.371304,eth0,11.6797,14.5996,26.2793,1196892,1157978,0.0075,0.0147,0.0222,636153254,126772107,0,0,0,0
13.313,1778981639.389606,eth0,10.8023,17.6765,28.4788,1196903,1157996,0.0067,0.0193,0.026,636154102,126774567,0,0,0,0
14.339,1778981640.416198,eth0,8.7669,13.6374,22.4042,1196912,1158010,0.0057,0.0146,0.0203,636154838,126776435,0,0,0,0
15.358,1778981641.434726,eth0,11.7817,21.5998,33.3815,1196924,1158032,0.007,0.0254,0.0324,636155730,126779663,0,0,0,0
16.392,1778981642.469218,eth0,28.0331,31.8997,59.9328,1196953,1158065,0.0377,0.0428,0.0805,636160610,126785196,0,0,0,0
17.41,1778981643.486871,eth0,13.7571,17.6878,31.4449,1196967,1158083,0.0079,0.0179,0.0258,636161610,126787476,0,0,0,0
18.427,1778981644.503825,eth0,10.8166,15.7333,26.5499,1196978,1158099,0.0067,0.0169,0.0236,636162458,126789628,0,0,0,0
19.447,1778981645.523462,eth0,422.6996,430.5455,853.2451,1197409,1158538,0.5808,0.3582,0.939,636236486,126835278,0,0,0,0
20.489,1778981646.566205,eth0,158.2365,89.1878,247.4243,1197574,1158631,0.245,0.0554,0.3005,636268422,126842504,0,0,0,0
21.507,1778981647.583466,eth0,239.8597,214.3009,454.1606,1197818,1158849,0.3952,0.1217,0.5169,636318674,126857980,0,0,0,0
22.524,1778981648.600981,eth0,203.4368,159.2114,362.6482,1198025,1159011,0.352,0.0929,0.4449,636363450,126869792,0,0,0,0
23.558,1778981649.634905,eth0,146.0455,115.0955,261.141,1198176,1159130,0.2688,0.069,0.3378,636398194,126878710,0,0,0,0
24.577,1778981650.653841,eth0,260.0752,198.246,458.3213,1198441,1159332,0.473,0.1137,0.5866,636458434,126893186,0,0,0,0
25.606,1778981651.682441,eth0,248.8819,189.578,438.46,1198697,1159527,0.4648,0.1086,0.5733,636518190,126907144,0,0,0,0
26.623,1778981652.699613,eth0,141.5691,99.295,240.8641,1198841,1159628,0.2426,0.0612,0.3038,636549034,126914930,0,0,0,0
27.649,1778981653.725914,eth0,169.5409,110.1041,279.645,1199015,1159741,0.3218,0.0738,0.3956,636590318,126924392,0,0,0,0
28.677,1778981654.753766,eth0,181.9328,85.6154,267.5482,1199202,1159829,0.4095,0.0537,0.4632,636642934,126931288,0,0,0,0
29.696,1778981655.772951,eth0,129.5152,89.287,218.8022,1199334,1159920,0.2093,0.0557,0.265,636669602,126938382,0,0,0,0
30.721,1778981656.797912,eth0,158.0548,91.7108,249.7657,1199496,1160014,0.4005,0.0569,0.4574,636720918,126945674,0,0,0,0
31.744,1778981657.820751,eth0,163.271,92.8787,256.1497,1199663,1160109,0.3616,0.0575,0.4191,636767154,126953020,0,0,0,0
32.761,1778981658.83824,eth0,138.5765,98.2812,236.8577,1199804,1160209,0.2193,0.0623,0.2816,636795042,126960944,0,0,0,0
33.783,1778981659.859482,eth0,140.0256,81.2736,221.2992,1199947,1160292,0.2957,0.0517,0.3474,636832790,126967542,0,0,0,0
34.807,1778981660.884106,eth0,138.5874,88.813,227.4004,1200089,1160383,0.2631,0.0554,0.3185,636866490,126974636,0,0,0,0
35.825,1778981661.901529,eth0,150.38,99.2704,249.6504,1200242,1160484,0.33,0.0624,0.3923,636908458,126982566,0,0,0,0
36.85,1778981662.926981,eth0,188.2097,111.1705,299.3801,1200435,1160598,0.4129,0.0661,0.479,636961386,126991034,0,0,0,0
37.873,1778981663.950315,eth0,155.3745,96.7426,252.1172,1200594,1160697,0.3446,0.06,0.4046,637005466,126998712,0,0,0,0
38.898,1778981664.974813,eth0,125.9153,85.8957,211.811,1200723,1160785,0.2394,0.0538,0.2932,637036122,127005608,0,0,0,0
39.916,1778981665.992594,eth0,130.6765,90.3928,221.0693,1200856,1160877,0.2426,0.0563,0.2989,637066986,127012768,0,0,0,0
40.935,1778981667.011466,eth0,194.3324,135.4438,329.7762,1201054,1161015,0.418,0.1156,0.5336,637120218,127027490,0,0,0,0
41.96,1778981668.036865,eth0,177.4919,98.4983,275.9902,1201236,1161116,0.3971,0.0605,0.4576,637171114,127035244,0,0,0,0
42.984,1778981669.061125,eth0,199.1681,103.4893,302.6574,1201440,1161222,0.4059,0.0633,0.4692,637223078,127043352,0,0,0,0
44.001,1778981670.078344,eth0,156.3086,91.4258,247.7344,1201599,1161315,0.307,0.0567,0.3638,637262118,127050566,0,0,0,0
45.025,1778981671.102097,eth0,172.8933,102.5638,275.4571,1201776,1161420,0.3814,0.0629,0.4443,637310930,127058616,0,0,0,0
46.057,1778981672.133817,eth0,161.8656,106.6181,268.4837,1201943,1161530,0.3119,0.0699,0.3819,637351156,127067637,0,0,0,0
47.075,1778981673.151613,eth0,132.6395,100.2165,232.856,1202078,1161632,0.2059,0.0615,0.2674,637377348,127075465,0,0,0,0
48.105,1778981674.182288,eth0,160.0893,106.7262,266.8155,1202243,1161742,0.2815,0.0665,0.348,637413612,127084037,0,0,0,0
49.123,1778981675.199664,eth0,176.9257,105.1725,282.0981,1202423,1161849,0.3885,0.0642,0.4527,637463012,127092207,0,0,0,0
50.151,1778981676.227513,eth0,169.2857,101.1823,270.4679,1202597,1161953,0.3891,0.0619,0.451,637513000,127100159,0,0,0,0
51.17,1778981677.246424,eth0,169.789,96.181,265.97,1202770,1162051,0.3817,0.0593,0.441,637561612,127107715,0,0,0,0
52.189,1778981678.266354,eth0,151.9713,100.0069,251.9782,1202925,1162153,0.2906,0.0615,0.352,637598656,127115551,0,0,0,0
53.208,1778981679.285096,eth0,154.1116,98.1602,252.2718,1203082,1162253,0.292,0.0608,0.3528,637635843,127123294,0,0,0,0
54.228,1778981680.30481,eth0,115.7188,95.1248,210.8436,1203200,1162350,0.179,0.0588,0.2378,637658663,127130784,0,0,0,0
55.246,1778981681.322867,eth0,127.6941,110.0134,237.7075,1203330,1162462,0.1923,0.0665,0.2588,637683131,127139252,0,0,0,0
56.266,1778981682.342824,eth0,121.5737,97.0629,218.6367,1203454,1162561,0.1838,0.0599,0.2437,637706559,127146894,0,0,0,0
57.29,1778981683.367198,eth0,137.6451,91.7634,229.4086,1203595,1162655,0.2189,0.0571,0.276,637734587,127154202,0,0,0,0
58.309,1778981684.385388,eth0,135.5345,90.3564,225.8909,1203733,1162747,0.2085,0.0566,0.265,637761119,127161402,0,0,0,0
59.338,1778981685.415063,eth0,185.4956,110.7146,296.2102,1203924,1162861,0.3386,0.0669,0.4055,637804699,127170014,0,0,0,0
60.357,1778981686.434003,eth0,217.8734,125.6207,343.4941,1204146,1162989,0.4366,0.0751,0.5117,637860307,127179582,0,0,0,0
61.385,1778981687.462253,eth0,196.4503,125.4559,321.9062,1204348,1163118,0.4038,0.0746,0.4784,637912211,127189172,0,0,0,0
62.406,1778981688.482621,eth0,201.888,128.3851,330.273,1204554,1163249,0.4232,0.0763,0.4995,637966187,127198910,0,0,0,0
63.429,1778981689.505464,eth0,190.645,139.8064,330.4514,1204749,1163392,0.3643,0.0998,0.4641,638012759,127211671,0,0,0,0
64.457,1778981690.533578,eth0,20.4258,26.2617,46.6875,1204770,1163419,0.0167,0.0256,0.0423,638014903,127214961,0,0,0,0
65.475,1778981691.551629,eth0,11.7872,18.6631,30.4503,1204782,1163438,0.0092,0.0195,0.0288,638016079,127217447,0,0,0,0
66.493,1778981692.570237,eth0,12.7625,17.6712,30.4337,1204795,1163456,0.0104,0.0167,0.0272,638017407,127219579,0,0,0,0
67.511,1778981693.587591,eth0,15.7271,20.6418,36.3689,1204811,1163477,0.011,0.0198,0.0308,638018807,127222101,0,0,0,0
68.535,1778981694.612072,eth0,15.6177,21.4743,37.0919,1204827,1163499,0.0112,0.0202,0.0314,638020246,127224684,0,0,0,0
69.553,1778981695.629684,eth0,12.775,20.6365,33.4116,1204840,1163520,0.0097,0.0213,0.031,638021474,127227398,0,0,0,0
70.579,1778981696.656269,eth0,16.5598,24.3526,40.9124,1204857,1163545,0.0117,0.024,0.0356,638022974,127230472,0,0,0,0
71.6,1778981697.677133,eth0,11.7548,18.6117,30.3664,1204869,1163564,0.0092,0.0186,0.0278,638024150,127232846,0,0,0,0
72.627,1778981698.703504,eth0,16.5632,21.4347,37.9979,1204886,1163586,0.0113,0.021,0.0324,638025602,127235546,0,0,0,0
73.645,1778981699.721748,eth0,11.785,17.6775,29.4625,1204898,1163604,0.0092,0.0179,0.0271,638026778,127237822,0,0,0,0
74.662,1778981700.739294,eth0,12.7758,19.6551,32.431,1204911,1163624,0.0097,0.0201,0.0297,638028006,127240374,0,0,0,0
75.681,1778981701.758136,eth0,13.7411,18.6486,32.3897,1204925,1163643,0.0101,0.0185,0.0286,638029294,127242724,0,0,0,0
76.699,1778981702.77572,eth0,14.7408,23.5853,38.3261,1204940,1163667,0.0105,0.0245,0.035,638030626,127245844,0,0,0,0
77.723,1778981703.799999,eth0,15.6207,21.4785,37.0993,1204956,1163689,0.0109,0.0213,0.0323,638032026,127248576,0,0,0,0
78.763,1778981704.840001,eth0,11.5384,16.3461,27.8846,1204968,1163706,0.009,0.0159,0.0249,638033202,127250642,0,0,0,0
