event,t,timestamp,value
metering_started,19.435,1778981058.570043,3
threshold_crossed,19.435,1778981058.570043,192.0
attack_detected,19.435,1778981058.570043,192.0
mitigation_active,19.435,1778981058.570043,192.0
escalation_started,27.624,1778981066.759483,3
threshold_cleared,64.395,1778981103.529952,71.33
attack_cleared,69.507,1778981108.642753,0.0
valid_traffic_started,1.594,1778981039.366893387,both
attack_started,16.708,1778981054.480895178,scapy
attack_ended,63.939,1778981101.712084406,scapy
