t,mbps
40.0,40.9
41.0,37.7
42.0,33.6
43.0,37.7
44.0,34.6
45.0,34.6
46.0,37.7
47.0,33.6
48.0,37.7
49.0,37.7
50.0,34.6
51.0,34.6
52.0,36.7
53.0,34.6
54.0,37.7
55.0,37.7
56.0,34.6
57.0,36.7
58.0,34.6
59.0,34.6
60.0,37.7
61.0,44.0
62.0,46.1
63.0,44.0
64.0,44.0
65.0,44.0
66.0,43.0
67.0,47.2
68.0,44.0
69.0,44.0
70.0,39.8
71.0,44.0
72.0,44.0
73.0,44.0
74.0,43.0
75.0,44.0
76.0,40.9
77.0,44.0
78.0,43.0
79.0,44.0
80.0,44.0
81.0,44.0
82.0,44.0
83.0,39.8
84.0,44.0
85.0,44.0
86.0,44.0
87.0,43.0
88.0,44.0
89.0,44.0
90.0,40.5
