t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.003,1778981039.137914,NORMAL,,False,False,False,0.0,100,,
1.06,1778981040.195581,NORMAL,,False,False,False,0.0,100,,
2.079,1778981041.214224,NORMAL,,False,False,False,0.0,100,,
3.106,1778981042.241493,NORMAL,,False,False,False,0.0,100,,
4.125,1778981043.259812,NORMAL,,False,False,False,0.0,100,,
5.15,1778981044.285705,NORMAL,,False,False,False,0.0,100,,
6.169,1778981045.303952,NORMAL,,False,False,False,0.0,100,,
7.186,1778981046.321111,NORMAL,,False,False,False,0.0,100,,
8.203,1778981047.338248,NORMAL,,False,False,False,0.0,100,,
9.221,1778981048.356264,NORMAL,,False,False,False,0.0,100,,
10.239,1778981049.374065,NORMAL,,False,False,False,0.0,100,,
11.257,1778981050.392207,NORMAL,,False,False,False,0.0,100,,
12.283,1778981051.418268,NORMAL,,False,False,False,0.0,100,,
13.302,1778981052.437179,NORMAL,,False,False,False,0.0,100,,
14.328,1778981053.463691,NORMAL,,False,False,False,0.0,100,,
15.346,1778981054.481364,NORMAL,,False,False,False,0.0,100,,
16.381,1778981055.516765,NORMAL,,False,False,False,0.0,100,,
17.4,1778981056.535607,NORMAL,,False,False,False,0.0,100,,
18.418,1778981057.552826,NORMAL,,False,False,False,0.0,100,,
19.435,1778981058.570043,METERING,,True,True,False,192.0,100,1778981058.0567694,1778981058.0567694
20.451,1778981059.586268,METERING,,True,True,False,280.33,100,1778981058.0567694,1778981058.0567694
21.471,1778981060.606685,METERING,,True,True,False,381.0,100,1778981058.0567694,1778981058.0567694
22.495,1778981061.630088,METERING,,True,True,False,282.0,100,1778981058.0567694,1778981058.0567694
23.525,1778981062.659806,METERING,,True,True,False,272.0,100,1778981058.0567694,1778981058.0567694
24.546,1778981063.681533,METERING,,True,True,False,208.33,100,1778981058.0567694,1778981058.0567694
25.575,1778981064.710043,METERING,,True,True,False,145.67,100,1778981058.0567694,1778981058.0567694
26.594,1778981065.729299,METERING,,True,True,False,142.67,100,1778981058.0567694,1778981058.0567694
27.624,1778981066.759483,LOCKDOWN,,True,True,False,169.0,100,1778981058.0567694,1778981058.0567694
28.642,1778981067.777499,LOCKDOWN,,True,True,False,223.33,100,1778981058.0567694,1778981058.0567694
29.66,1778981068.795024,LOCKDOWN,,True,True,False,248.67,100,1778981058.0567694,1778981058.0567694
30.676,1778981069.811468,LOCKDOWN,,True,True,False,274.67,100,1778981058.0567694,1778981058.0567694
31.693,1778981070.828279,LOCKDOWN,,True,True,False,271.67,100,1778981058.0567694,1778981058.0567694
32.712,1778981071.847387,LOCKDOWN,,True,True,False,238.67,100,1778981058.0567694,1778981058.0567694
33.728,1778981072.863653,LOCKDOWN,,True,True,False,183.0,100,1778981058.0567694,1778981058.0567694
34.752,1778981073.8876,LOCKDOWN,,True,True,False,141.0,100,1778981058.0567694,1778981058.0567694
35.772,1778981074.907651,LOCKDOWN,,True,True,False,166.0,100,1778981058.0567694,1778981058.0567694
36.8,1778981075.934955,LOCKDOWN,,True,True,False,167.0,100,1778981058.0567694,1778981058.0567694
37.82,1778981076.955079,LOCKDOWN,,True,True,False,168.0,100,1778981058.0567694,1778981058.0567694
38.848,1778981077.983472,LOCKDOWN,,True,True,False,182.33,100,1778981058.0567694,1778981058.0567694
39.868,1778981079.002831,LOCKDOWN,,True,True,False,193.67,100,1778981058.0567694,1778981058.0567694
40.887,1778981080.02195,LOCKDOWN,,True,True,False,177.67,100,1778981058.0567694,1778981058.0567694
41.904,1778981081.039486,LOCKDOWN,,True,True,False,148.67,100,1778981058.0567694,1778981058.0567694
42.924,1778981082.059486,LOCKDOWN,,True,True,False,156.33,100,1778981058.0567694,1778981058.0567694
43.941,1778981083.076612,LOCKDOWN,,True,True,False,207.0,100,1778981058.0567694,1778981058.0567694
44.966,1778981084.10085,LOCKDOWN,,True,True,False,219.0,100,1778981058.0567694,1778981058.0567694
45.994,1778981085.129657,LOCKDOWN,,True,True,False,243.0,100,1778981058.0567694,1778981058.0567694
47.015,1778981086.150305,LOCKDOWN,,True,True,False,213.0,100,1778981058.0567694,1778981058.0567694
48.04,1778981087.175473,LOCKDOWN,,True,True,False,183.0,100,1778981058.0567694,1778981058.0567694
49.059,1778981088.194433,LOCKDOWN,,True,True,False,158.67,100,1778981058.0567694,1778981058.0567694
50.091,1778981089.226024,LOCKDOWN,,True,True,False,183.33,100,1778981058.0567694,1778981058.0567694
51.112,1778981090.247461,LOCKDOWN,,True,True,False,209.67,100,1778981058.0567694,1778981058.0567694
52.132,1778981091.267513,LOCKDOWN,,True,True,False,187.33,100,1778981058.0567694,1778981058.0567694
53.15,1778981092.284902,LOCKDOWN,,True,True,False,165.0,100,1778981058.0567694,1778981058.0567694
54.167,1778981093.302139,LOCKDOWN,,True,True,False,146.0,100,1778981058.0567694,1778981058.0567694
55.187,1778981094.322292,LOCKDOWN,,True,True,False,140.67,100,1778981058.0567694,1778981058.0567694
56.208,1778981095.343632,LOCKDOWN,,True,True,False,140.0,100,1778981058.0567694,1778981058.0567694
57.235,1778981096.370728,LOCKDOWN,,True,True,False,149.33,100,1778981058.0567694,1778981058.0567694
58.252,1778981097.387623,LOCKDOWN,,True,True,False,195.0,100,1778981058.0567694,1778981058.0567694
59.283,1778981098.418672,LOCKDOWN,,True,True,False,227.67,100,1778981058.0567694,1778981058.0567694
60.305,1778981099.440303,LOCKDOWN,,True,True,False,241.67,100,1778981058.0567694,1778981058.0567694
61.336,1778981100.471154,LOCKDOWN,,True,True,False,223.67,100,1778981058.0567694,1778981058.0567694
62.356,1778981101.491651,LOCKDOWN,,True,True,False,172.0,100,1778981058.0567694,1778981058.0567694
63.374,1778981102.509117,LOCKDOWN,,True,True,False,138.67,100,1778981058.0567694,1778981058.0567694
64.395,1778981103.529952,LOCKDOWN,,True,True,False,71.33,100,1778981058.0567694,1778981058.0567694
65.413,1778981104.548463,LOCKDOWN,,True,True,False,33.0,100,1778981058.0567694,1778981058.0567694
66.431,1778981105.566077,LOCKDOWN,,True,True,False,3.0,100,1778981058.0567694,1778981058.0567694
67.462,1778981106.596992,LOCKDOWN,,True,True,False,0.0,100,1778981058.0567694,1778981058.0567694
68.488,1778981107.623464,LOCKDOWN,,True,True,False,0.0,100,1778981058.0567694,1778981058.0567694
69.507,1778981108.642753,METERING,,False,True,False,0.0,100,1778981058.0567694,1778981058.0567694
70.535,1778981109.670733,METERING,,False,True,False,0.0,100,1778981058.0567694,1778981058.0567694
71.553,1778981110.688387,METERING,,False,True,False,0.0,100,1778981058.0567694,1778981058.0567694
72.58,1778981111.715363,METERING,,False,True,False,0.0,100,1778981058.0567694,1778981058.0567694
73.598,1778981112.733547,METERING,,False,True,False,0.0,100,1778981058.0567694,1778981058.0567694
74.616,1778981113.751397,METERING,,False,True,False,0.0,100,1778981058.0567694,1778981058.0567694
75.633,1778981114.768758,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
76.653,1778981115.788085,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
77.671,1778981116.806329,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
78.723,1778981117.858107,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
79.744,1778981118.879581,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
80.773,1778981119.908071,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
81.79,1778981120.925774,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
82.817,1778981121.952459,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
83.835,1778981122.970569,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
84.853,1778981123.988538,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
85.87,1778981125.005683,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
86.891,1778981126.026244,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
87.908,1778981127.043409,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
88.926,1778981128.06146,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
89.953,1778981129.087854,NORMAL,,False,True,False,0.0,100,1778981058.0567694,
