t,mbps
0,102.0
1,96.5
2,93.3
3,96.5
4,96.5
5,96.5
6,96.5
7,94.4
8,96.5
9,94.4
10,96.5
11,94.4
12,96.5
13,99.6
14,95.4
15,96.5
16,95.4
17,95.4
18,92.3
19,95.4
20,96.5
21,95.4
22,96.5
23,95.4
24,96.5
25,95.4
26,96.5
27,95.4
28,96.5
29,95.4
30,96.5
31,95.4
32,93.3
33,94.4
34,96.5
35,95.4
36,95.4
37,96.5
38,95.4
39,93.3
40,61.9
41,58.7
42,58.7
43,58.7
44,61.9
45,58.7
46,62.9
47,57.7
48,58.7
49,58.7
50,61.9
51,58.7
52,62.9
53,57.7
54,58.7
55,58.7
56,61.9
57,58.7
58,58.7
59,61.9
60,54.5
61,50.3
62,53.5
63,50.3
64,54.5
65,50.3
66,49.3
67,50.3
68,54.5
69,49.3
70,54.5
71,50.3
72,54.5
73,49.3
74,54.5
75,54.5
76,49.3
77,54.5
78,54.5
79,50.3
80,49.3
81,54.5
82,50.3
83,53.5
84,54.5
85,50.3
86,54.5
87,49.3
88,54.5
89,50.3
90,73.2
