t,mbps
0,103.0
1,93.3
2,96.5
3,96.5
4,96.5
5,95.4
6,97.5
7,93.3
8,97.5
9,93.3
10,97.5
11,96.5
12,95.4
13,98.6
14,94.4
15,97.5
16,94.4
17,93.3
18,98.6
19,94.4
20,93.3
21,98.6
22,94.4
23,98.6
24,92.3
25,106.0
26,91.2
27,101.0
28,91.2
29,101.0
30,92.3
31,91.2
32,101.0
33,90.2
34,98.6
35,92.3
36,96.5
37,98.6
38,92.3
39,101.0
40,74.4
41,75.5
42,75.5
43,66.1
44,75.5
45,70.3
46,75.5
47,75.5
48,76.5
49,73.4
50,73.4
51,67.1
52,67.1
53,74.4
54,66.1
55,74.4
56,75.5
57,74.4
58,75.5
59,80.7
60,83.9
61,75.5
62,74.4
63,75.5
64,75.5
65,74.4
66,75.5
67,74.4
68,75.5
69,83.9
70,74.4
71,83.9
72,82.8
73,83.9
74,82.8
75,86.4
