t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.01,1778935376.449977,128.110.97.129,1.1,1,0.0
0.01,1778935376.449977,128.110.97.130,1.31,1,0.0
0.01,1778935376.449977,128.110.97.131,1.23,1,0.0
5.127,1778935381.567241,128.110.97.129,1.06,1,0.0
5.127,1778935381.567241,128.110.97.130,1.03,1,0.0
5.127,1778935381.567241,128.110.97.131,1.05,1,0.0
10.25,1778935386.690374,128.110.97.129,1.05,1,0.0
10.25,1778935386.690374,128.110.97.130,1.07,1,0.0
10.25,1778935386.690374,128.110.97.131,0.846,1,0.0
15.366,1778935391.806741,128.110.97.129,1.01,1,0.0
15.366,1778935391.806741,128.110.97.130,0.922,1,0.0
15.366,1778935391.806741,128.110.97.131,0.75,1,0.0
20.567,1778935397.006893,128.110.97.129,0.965,1,0.0
20.567,1778935397.006893,128.110.97.130,0.948,1,0.0
20.567,1778935397.006893,128.110.97.131,0.814,1,0.0
25.753,1778935402.193456,128.110.97.129,0.968,1,0.0
25.753,1778935402.193456,128.110.97.130,0.8,1,0.0
25.753,1778935402.193456,128.110.97.131,0.88,1,0.0
30.893,1778935407.333698,128.110.97.129,0.866,1,0.0
30.893,1778935407.333698,128.110.97.130,0.865,1,0.0
30.893,1778935407.333698,128.110.97.131,0.959,1,0.0
36.042,1778935412.482734,128.110.97.129,0.94,1,0.0
36.042,1778935412.482734,128.110.97.130,0.834,1,0.0
36.042,1778935412.482734,128.110.97.131,0.848,1,0.0
41.191,1778935417.630928,128.110.97.129,0.93,1,0.0
41.191,1778935417.630928,128.110.97.130,0.915,1,0.0
41.191,1778935417.630928,128.110.97.131,1.01,1,0.0
46.313,1778935422.753359,128.110.97.129,0.93,1,0.0
46.313,1778935422.753359,128.110.97.130,0.966,1,0.0
46.313,1778935422.753359,128.110.97.131,0.856,1,0.0
51.445,1778935427.885125,128.110.97.129,0.953,1,0.0
51.445,1778935427.885125,128.110.97.130,0.863,1,0.0
51.445,1778935427.885125,128.110.97.131,0.911,1,0.0
56.566,1778935433.006076,128.110.97.129,0.804,1,0.0
56.566,1778935433.006076,128.110.97.130,0.845,1,0.0
56.566,1778935433.006076,128.110.97.131,0.917,1,0.0
61.699,1778935438.139551,128.110.97.129,0.983,1,0.0
61.699,1778935438.139551,128.110.97.130,0.751,1,0.0
61.699,1778935438.139551,128.110.97.131,0.863,1,0.0
66.853,1778935443.293559,128.110.97.129,0.995,1,0.0
66.853,1778935443.293559,128.110.97.130,0.89,1,0.0
66.853,1778935443.293559,128.110.97.131,0.832,1,0.0
71.945,1778935448.385758,128.110.97.129,0.955,1,0.0
71.945,1778935448.385758,128.110.97.130,0.895,1,0.0
71.945,1778935448.385758,128.110.97.131,0.953,1,0.0
