event,t,timestamp,value
metering_started,26.613,1778991980.697502,2
threshold_crossed,26.613,1778991980.697502,300.0
attack_detected,26.613,1778991980.697502,300.0
mitigation_active,26.613,1778991980.697502,300.0
threshold_cleared,27.643,1778991981.727509,234.0
escalation_started,34.778,1778991988.862679,2
attack_cleared,37.846,1778991991.931375,99.67
valid_traffic_started,1.696,1778991954.355515903,both
attack_started,16.835,1778991969.494334338,scapy
attack_ended,64.045,1778992016.704621038,scapy
