t,rtt_ms
40.0,8.82
40.5,12.3
41.0,9.94
41.5,8.22
42.0,11.1
42.5,9.69
43.0,11.6
43.5,12.1
44.0,9.04
44.5,11.4
45.0,10.1
45.5,9.02
46.0,13.4
46.5,8.93
47.0,13.2
47.5,10.4
48.0,10.8
48.5,9.3
49.0,10.6
49.5,13.5
50.0,11.0
50.5,11.6
51.0,9.92
51.5,11.8
52.0,9.49
52.5,12.1
53.0,10.6
53.5,12.6
54.0,10.1
54.5,13.6
55.0,8.94
55.5,13.3
56.0,13.4
56.5,12.2
57.0,11.4
57.5,6.96
58.0,11.8
58.5,9.78
59.0,13.0
59.5,10.8
60.0,12.5
60.5,9.37
61.0,12.8
61.5,9.76
62.0,9.07
62.5,6.54
63.0,10.1
63.5,8.77
64.0,9.23
64.5,11.5
65.0,8.66
65.5,13.7
66.0,11.9
66.5,12.0
67.0,10.8
67.5,13.3
68.0,9.58
68.5,12.6
69.0,13.3
69.5,8.97
70.0,9.61
70.5,13.8
71.0,8.3
71.5,10.8
72.0,10.4
72.5,11.3
73.0,8.64
73.5,9.76
74.0,9.34
74.5,13.7
75.0,10.3
75.5,10.5
76.0,12.8
76.5,9.65
77.0,9.09
77.5,9.75
78.0,10.7
78.5,11.6
79.0,9.73
79.5,11.1
80.0,6.11
80.5,9.32
81.0,8.08
81.5,10.9
82.0,8.59
82.5,11.9
83.0,8.99
83.5,11.5
84.0,12.6
84.5,10.6
85.0,9.11
85.5,11.2
86.0,8.9
86.5,7.66
87.0,10.8
87.5,7.67
88.0,9.73
88.5,6.35
89.0,9.25
89.5,8.96
