t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
71.588,1778980915.159465,METERING,,False,True,False,0.0,100,1778980863.84954,1778980863.84954
72.615,1778980916.186207,METERING,,False,True,False,0.0,100,1778980863.84954,1778980863.84954
73.634,1778980917.204701,METERING,,False,True,False,0.0,100,1778980863.84954,1778980863.84954
74.651,1778980918.22211,METERING,,False,True,False,0.0,100,1778980863.84954,1778980863.84954
75.67,1778980919.240895,METERING,,False,True,False,0.0,100,1778980863.84954,1778980863.84954
76.687,1778980920.257984,NORMAL,,False,True,False,0.0,100,1778980863.84954,
77.711,1778980921.28224,NORMAL,,False,True,False,0.0,100,1778980863.84954,
78.75,1778980922.321538,NORMAL,,False,True,False,0.0,100,1778980863.84954,
79.769,1778980923.34039,NORMAL,,False,True,False,0.0,100,1778980863.84954,
80.799,1778980924.370671,NORMAL,,False,True,False,0.0,100,1778980863.84954,
81.817,1778980925.388462,NORMAL,,False,True,False,0.0,100,1778980863.84954,
82.843,1778980926.414523,NORMAL,,False,True,False,0.0,100,1778980863.84954,
83.862,1778980927.433679,NORMAL,,False,True,False,0.0,100,1778980863.84954,
84.88,1778980928.450766,NORMAL,,False,True,False,0.0,100,1778980863.84954,
85.897,1778980929.467963,NORMAL,,False,True,False,0.0,100,1778980863.84954,
86.915,1778980930.485924,NORMAL,,False,True,False,0.0,100,1778980863.84954,
87.932,1778980931.503235,NORMAL,,False,True,False,0.0,100,1778980863.84954,
88.952,1778980932.522981,NORMAL,,False,True,False,0.0,100,1778980863.84954,
89.978,1778980933.549622,NORMAL,,False,True,False,0.0,100,1778980863.84954,
