PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=26 ttl=64 time=4.03 ms
264 bytes from 10.10.10.3: icmp_seq=27 ttl=64 time=4.90 ms
264 bytes from 10.10.10.3: icmp_seq=28 ttl=64 time=5.83 ms
264 bytes from 10.10.10.3: icmp_seq=29 ttl=64 time=6.58 ms
264 bytes from 10.10.10.3: icmp_seq=30 ttl=64 time=6.72 ms
264 bytes from 10.10.10.3: icmp_seq=31 ttl=64 time=6.80 ms
264 bytes from 10.10.10.3: icmp_seq=32 ttl=64 time=6.69 ms
264 bytes from 10.10.10.3: icmp_seq=33 ttl=64 time=6.87 ms
264 bytes from 10.10.10.3: icmp_seq=34 ttl=64 time=7.78 ms
264 bytes from 10.10.10.3: icmp_seq=35 ttl=64 time=7.64 ms
264 bytes from 10.10.10.3: icmp_seq=36 ttl=64 time=7.69 ms
264 bytes from 10.10.10.3: icmp_seq=37 ttl=64 time=8.11 ms
264 bytes from 10.10.10.3: icmp_seq=38 ttl=64 time=10.6 ms
264 bytes from 10.10.10.3: icmp_seq=39 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=40 ttl=64 time=8.84 ms
264 bytes from 10.10.10.3: icmp_seq=41 ttl=64 time=9.87 ms
264 bytes from 10.10.10.3: icmp_seq=42 ttl=64 time=9.74 ms
264 bytes from 10.10.10.3: icmp_seq=43 ttl=64 time=9.77 ms
264 bytes from 10.10.10.3: icmp_seq=44 ttl=64 time=9.61 ms
264 bytes from 10.10.10.3: icmp_seq=45 ttl=64 time=7.39 ms
264 bytes from 10.10.10.3: icmp_seq=46 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=47 ttl=64 time=8.58 ms
264 bytes from 10.10.10.3: icmp_seq=48 ttl=64 time=9.01 ms
264 bytes from 10.10.10.3: icmp_seq=49 ttl=64 time=9.83 ms
264 bytes from 10.10.10.3: icmp_seq=50 ttl=64 time=9.90 ms
264 bytes from 10.10.10.3: icmp_seq=51 ttl=64 time=7.18 ms
264 bytes from 10.10.10.3: icmp_seq=52 ttl=64 time=7.62 ms
264 bytes from 10.10.10.3: icmp_seq=53 ttl=64 time=7.73 ms
264 bytes from 10.10.10.3: icmp_seq=54 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=55 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=56 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=57 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=58 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=59 ttl=64 time=8.54 ms
264 bytes from 10.10.10.3: icmp_seq=60 ttl=64 time=11.3 ms
264 bytes from 10.10.10.3: icmp_seq=61 ttl=64 time=8.93 ms
264 bytes from 10.10.10.3: icmp_seq=62 ttl=64 time=11.3 ms
264 bytes from 10.10.10.3: icmp_seq=63 ttl=64 time=9.32 ms
264 bytes from 10.10.10.3: icmp_seq=64 ttl=64 time=7.13 ms
264 bytes from 10.10.10.3: icmp_seq=65 ttl=64 time=7.49 ms
264 bytes from 10.10.10.3: icmp_seq=66 ttl=64 time=10.7 ms
264 bytes from 10.10.10.3: icmp_seq=67 ttl=64 time=7.95 ms
264 bytes from 10.10.10.3: icmp_seq=68 ttl=64 time=11.9 ms
264 bytes from 10.10.10.3: icmp_seq=69 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=70 ttl=64 time=9.50 ms
264 bytes from 10.10.10.3: icmp_seq=71 ttl=64 time=12.2 ms
264 bytes from 10.10.10.3: icmp_seq=72 ttl=64 time=9.80 ms
264 bytes from 10.10.10.3: icmp_seq=73 ttl=64 time=9.88 ms
264 bytes from 10.10.10.3: icmp_seq=74 ttl=64 time=10.1 ms
264 bytes from 10.10.10.3: icmp_seq=75 ttl=64 time=10.6 ms
264 bytes from 10.10.10.3: icmp_seq=76 ttl=64 time=8.34 ms
264 bytes from 10.10.10.3: icmp_seq=77 ttl=64 time=8.86 ms
264 bytes from 10.10.10.3: icmp_seq=78 ttl=64 time=8.71 ms
264 bytes from 10.10.10.3: icmp_seq=79 ttl=64 time=8.55 ms
264 bytes from 10.10.10.3: icmp_seq=80 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=81 ttl=64 time=12.1 ms
264 bytes from 10.10.10.3: icmp_seq=82 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=83 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=84 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=85 ttl=64 time=8.23 ms
264 bytes from 10.10.10.3: icmp_seq=86 ttl=64 time=12.4 ms
264 bytes from 10.10.10.3: icmp_seq=87 ttl=64 time=12.8 ms
264 bytes from 10.10.10.3: icmp_seq=88 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=89 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=90 ttl=64 time=9.77 ms
264 bytes from 10.10.10.3: icmp_seq=91 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=92 ttl=64 time=8.95 ms
264 bytes from 10.10.10.3: icmp_seq=93 ttl=64 time=9.26 ms
264 bytes from 10.10.10.3: icmp_seq=94 ttl=64 time=12.3 ms
264 bytes from 10.10.10.3: icmp_seq=95 ttl=64 time=12.6 ms
264 bytes from 10.10.10.3: icmp_seq=96 ttl=64 time=12.7 ms
264 bytes from 10.10.10.3: icmp_seq=97 ttl=64 time=12.9 ms
264 bytes from 10.10.10.3: icmp_seq=98 ttl=64 time=12.3 ms
264 bytes from 10.10.10.3: icmp_seq=99 ttl=64 time=6.52 ms
264 bytes from 10.10.10.3: icmp_seq=100 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=101 ttl=64 time=14.0 ms
264 bytes from 10.10.10.3: icmp_seq=102 ttl=64 time=9.57 ms
264 bytes from 10.10.10.3: icmp_seq=103 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=104 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=105 ttl=64 time=11.4 ms
264 bytes from 10.10.10.3: icmp_seq=106 ttl=64 time=10.2 ms
264 bytes from 10.10.10.3: icmp_seq=107 ttl=64 time=9.33 ms
