t,mbps
0,103.0
1,96.5
2,93.3
3,98.6
4,93.3
5,96.5
6,96.5
7,93.3
8,98.6
9,96.5
10,95.4
11,97.5
12,96.5
13,93.3
14,96.5
15,96.5
16,95.4
17,94.4
18,94.4
19,98.6
20,93.3
21,98.6
22,94.4
23,93.3
24,98.6
25,93.3
26,98.6
27,94.4
28,93.3
29,98.6
30,94.4
31,93.3
32,98.6
33,94.4
34,98.6
35,93.3
36,94.4
37,98.6
38,93.3
39,95.4
40,76.5
41,72.4
42,71.3
43,71.3
44,71.3
45,68.2
46,72.4
47,71.3
48,66.1
49,70.3
50,66.1
51,70.3
52,70.3
53,66.1
54,70.3
55,65.0
56,71.3
57,65.0
58,70.3
59,70.3
60,66.1
61,70.3
62,66.1
63,70.3
64,66.1
65,70.3
66,65.0
67,70.3
68,71.3
69,65.0
70,70.3
71,66.1
72,70.3
73,70.3
74,67.1
75,70.3
76,68.2
77,69.2
78,72.4
79,70.3
80,71.3
81,71.3
82,70.3
83,71.3
84,70.3
85,71.3
86,71.3
87,70.3
88,71.3
89,70.3
90,81.2
