event,t,timestamp,value
metering_started,19.46,1778981156.506425,1
threshold_crossed,19.46,1778981156.506425,180.0
attack_detected,19.46,1778981156.506425,180.0
mitigation_active,19.46,1778981156.506425,180.0
escalation_started,27.647,1778981164.694225,1
threshold_cleared,64.467,1778981201.513675,76.0
metering_cleared,69.568,1778981206.614621,0
escalation_cleared,69.568,1778981206.614621,0
attack_cleared,69.568,1778981206.614621,0.0
mitigation_ended,75.695,1778981212.741632,0.0
valid_traffic_started,1.659,1778981137.297606953,both
attack_started,16.795,1778981152.434004390,scapy
attack_ended,63.989,1778981199.628111993,scapy
