t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.003,1778981137.050009,0,0.0,100,0.86,4,5,15,0,0,True,False,False,False,0
1.059,1778981138.105575,0,0.0,100,0.86,4,5,15,0,0,True,False,False,False,0
2.079,1778981139.125661,0,0.0,100,0.94,4,5,15,0,0,True,False,False,False,0
3.105,1778981140.151413,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
4.122,1778981141.168917,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
5.149,1778981142.195647,0,0.0,100,0.97,4,5,15,0,0,True,False,False,False,0
6.168,1778981143.214957,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
7.187,1778981144.233389,0,0.0,100,0.99,4,5,15,0,0,True,False,False,False,0
8.204,1778981145.250524,0,0.0,100,1.01,4,5,15,0,0,True,False,False,False,0
9.221,1778981146.268181,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
10.238,1778981147.28519,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
11.256,1778981148.302631,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
12.281,1778981149.327841,0,0.0,100,0.97,4,5,15,0,0,True,False,False,False,0
13.299,1778981150.345995,0,0.0,100,0.99,4,5,15,0,0,True,False,False,False,0
14.325,1778981151.371905,0,0.0,100,0.97,4,5,15,0,0,True,False,False,False,0
15.345,1778981152.391639,0,0.0,100,0.99,4,5,15,0,0,True,False,False,False,0
16.385,1778981153.431573,0,0.0,100,1.0,4,5,15,0,0,True,False,False,False,0
17.402,1778981154.449037,0,0.0,100,0.99,4,5,15,0,0,True,False,False,False,0
18.419,1778981155.46603,2,0.67,100,1.1,4,6,16,0,2,True,False,False,False,0
19.46,1778981156.506425,534,178.0,100,17.08,4,5,15,0,396,True,True,True,False,138
20.487,1778981157.533821,732,244.0,100,18.87,4,5,15,0,396,True,True,True,False,336
21.505,1778981158.551469,966,295.33,100,20.87,4,5,15,0,396,True,True,True,False,570
22.528,1778981159.575168,1308,249.0,100,24.27,4,5,15,0,396,True,True,True,False,912
23.562,1778981160.608605,1620,292.0,100,25.65,4,5,15,0,396,True,True,True,False,1224
24.581,1778981161.627522,1920,308.0,100,26.69,4,5,15,0,396,True,True,True,False,1524
25.604,1778981162.65086,2064,248.0,100,23.59,4,5,15,0,396,True,True,True,False,1668
26.621,1778981163.667631,2268,212.0,100,22.59,4,5,15,0,396,True,True,True,False,1872
27.647,1778981164.694225,2556,205.0,100,23.62,4,5,15,0,396,True,True,True,False,2160
28.669,1778981165.715509,2680,203.0,100,21.05,4,5,15,0,396,True,True,True,False,2284
29.687,1778981166.733981,2796,171.67,100,19.19,4,5,15,0,396,True,True,True,False,2400
30.705,1778981167.751475,2910,113.0,100,17.67,4,5,15,0,396,True,True,True,False,2514
31.728,1778981168.775115,3024,112.0,100,16.5,4,5,15,0,396,True,True,True,False,2628
32.747,1778981169.793544,3228,142.67,100,17.4,4,5,15,0,396,True,True,True,False,2832
33.769,1778981170.815626,3432,172.0,100,18.16,4,5,15,0,396,True,True,True,False,3036
34.796,1778981171.843007,3718,227.33,100,20.26,4,5,15,0,396,True,True,True,False,3322
35.816,1778981172.862772,3900,216.0,100,19.69,4,5,15,0,396,True,True,True,False,3504
36.841,1778981173.887465,4120,224.0,100,19.86,4,5,15,0,396,True,True,True,False,3724
37.866,1778981174.912757,4404,223.33,100,21.28,4,5,15,0,396,True,True,True,False,4008
38.897,1778981175.943466,4704,265.67,100,22.59,4,5,15,0,396,True,True,True,False,4307
39.915,1778981176.96159,4860,240.0,100,20.68,4,5,15,0,396,True,True,True,False,4463
40.932,1778981177.978904,4980,184.0,100,18.66,4,5,15,0,396,True,True,True,False,4583
41.951,1778981178.99741,5148,144.0,100,18.09,4,5,15,0,396,True,True,True,False,4751
42.972,1778981180.019213,5296,142.0,100,17.36,4,5,15,0,396,True,True,True,False,4899
43.991,1778981181.038279,5484,165.67,100,17.7,4,5,15,0,396,True,True,True,False,5087
45.012,1778981182.058724,5600,146.67,100,16.46,4,5,15,0,396,True,True,True,False,5203
46.04,1778981183.086644,5712,136.0,100,15.43,4,5,15,0,396,True,True,True,False,5315
47.057,1778981184.103615,5821,108.33,100,14.59,4,5,15,0,396,True,True,True,False,5424
48.086,1778981185.13243,5940,112.0,100,14.22,4,5,15,0,396,True,True,True,False,5543
49.104,1778981186.150887,6059,114.33,100,14.28,4,5,15,0,396,True,True,True,False,5662
50.129,1778981187.175465,6174,114.0,100,14.08,4,5,15,0,396,True,True,True,False,5777
51.147,1778981188.193647,6288,112.0,100,13.84,4,5,15,0,396,True,True,True,False,5891
52.165,1778981189.211511,6492,144.0,100,15.82,4,5,15,0,396,True,True,True,False,6095
53.182,1778981190.229027,6696,172.0,100,17.02,4,5,15,0,396,True,True,True,False,6299
54.201,1778981191.247463,6904,201.33,100,18.25,4,5,15,0,396,True,True,True,False,6507
55.226,1778981192.272548,7184,223.67,100,20.28,4,5,15,0,396,True,True,True,False,6787
56.247,1778981193.293875,7367,220.67,100,19.56,4,5,15,0,396,True,True,True,False,6970
57.275,1778981194.32199,7492,189.33,100,17.88,4,5,15,0,396,True,True,True,False,7095
58.298,1778981195.345155,7704,168.0,100,18.43,4,5,15,0,396,True,True,True,False,7307
59.323,1778981196.369743,7991,206.67,100,20.48,4,5,15,0,396,True,True,True,False,7594
60.344,1778981197.390581,8237,241.67,100,21.04,4,5,15,0,396,True,True,True,False,7840
61.371,1778981198.417999,8352,210.67,100,18.66,4,5,15,0,396,True,True,True,False,7955
62.389,1778981199.435506,8466,154.0,100,17.09,4,5,15,0,396,True,True,True,False,8069
63.409,1778981200.455462,8584,113.33,100,15.97,4,5,15,0,396,True,True,True,False,8187
64.467,1778981201.513675,8592,76.0,100,12.91,4,5,15,0,396,True,True,True,False,8195
65.487,1778981202.533596,8592,38.67,100,9.7,4,5,15,0,396,True,True,True,False,8195
66.504,1778981203.551087,8592,0.0,100,7.33,4,5,15,0,396,True,True,True,False,8195
67.522,1778981204.568723,8592,0.0,100,5.71,4,5,15,0,396,True,True,True,False,8195
68.548,1778981205.594768,8592,0.0,100,4.53,4,5,15,0,396,True,True,True,False,8195
69.568,1778981206.614621,8592,0.0,100,3.49,4,5,15,0,396,True,True,False,False,8195
