t,mbps
40.0,27.3
41.0,23.1
42.0,25.2
43.0,23.1
44.0,25.2
45.0,25.2
46.0,23.1
47.0,26.2
48.0,27.3
49.0,27.3
50.0,27.3
51.0,27.3
52.0,29.4
53.0,27.3
54.0,26.2
55.0,27.3
56.0,27.3
57.0,27.3
58.0,27.3
59.0,27.3
60.0,27.3
61.0,26.2
62.0,27.3
63.0,29.4
64.0,27.3
65.0,27.3
66.0,27.3
67.0,26.2
68.0,27.3
69.0,27.3
70.0,27.3
71.0,27.3
72.0,27.3
73.0,27.3
74.0,24.1
75.0,27.3
76.0,27.3
77.0,25.2
78.0,25.2
79.0,25.2
80.0,25.2
81.0,24.1
82.0,25.2
83.0,25.2
84.0,23.1
85.0,25.2
86.0,27.3
87.0,23.1
88.0,24.1
89.0,25.2
90.0,26.2
