PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=78 ttl=64 time=18.5 ms
264 bytes from 10.10.10.3: icmp_seq=79 ttl=64 time=13.5 ms
264 bytes from 10.10.10.3: icmp_seq=80 ttl=64 time=16.3 ms
264 bytes from 10.10.10.3: icmp_seq=81 ttl=64 time=16.1 ms
264 bytes from 10.10.10.3: icmp_seq=82 ttl=64 time=10.5 ms
264 bytes from 10.10.10.3: icmp_seq=83 ttl=64 time=8.01 ms
264 bytes from 10.10.10.3: icmp_seq=84 ttl=64 time=9.82 ms
264 bytes from 10.10.10.3: icmp_seq=85 ttl=64 time=13.1 ms
264 bytes from 10.10.10.3: icmp_seq=86 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=87 ttl=64 time=13.1 ms
264 bytes from 10.10.10.3: icmp_seq=88 ttl=64 time=13.5 ms
264 bytes from 10.10.10.3: icmp_seq=89 ttl=64 time=15.0 ms
264 bytes from 10.10.10.3: icmp_seq=90 ttl=64 time=16.7 ms
264 bytes from 10.10.10.3: icmp_seq=91 ttl=64 time=16.8 ms
264 bytes from 10.10.10.3: icmp_seq=92 ttl=64 time=16.9 ms
264 bytes from 10.10.10.3: icmp_seq=93 ttl=64 time=18.4 ms
264 bytes from 10.10.10.3: icmp_seq=94 ttl=64 time=20.4 ms
264 bytes from 10.10.10.3: icmp_seq=95 ttl=64 time=20.3 ms
264 bytes from 10.10.10.3: icmp_seq=96 ttl=64 time=19.4 ms
264 bytes from 10.10.10.3: icmp_seq=97 ttl=64 time=21.5 ms
264 bytes from 10.10.10.3: icmp_seq=98 ttl=64 time=8.95 ms
264 bytes from 10.10.10.3: icmp_seq=99 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=100 ttl=64 time=14.7 ms
264 bytes from 10.10.10.3: icmp_seq=101 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=102 ttl=64 time=9.43 ms
264 bytes from 10.10.10.3: icmp_seq=103 ttl=64 time=8.75 ms
264 bytes from 10.10.10.3: icmp_seq=104 ttl=64 time=7.78 ms
264 bytes from 10.10.10.3: icmp_seq=105 ttl=64 time=9.74 ms
264 bytes from 10.10.10.3: icmp_seq=106 ttl=64 time=10.6 ms
264 bytes from 10.10.10.3: icmp_seq=107 ttl=64 time=11.2 ms
264 bytes from 10.10.10.3: icmp_seq=108 ttl=64 time=11.2 ms
