t,mbps
0,102.0
1,96.5
2,96.5
3,95.4
4,95.4
5,95.4
6,94.4
7,96.5
8,97.5
9,93.3
10,97.5
11,94.4
12,98.6
13,95.4
14,94.4
15,95.4
16,94.4
17,98.6
18,94.4
19,95.4
20,94.4
21,95.4
22,98.6
23,94.4
24,95.4
25,94.4
26,95.4
27,101.0
28,94.4
29,98.6
30,94.4
31,93.3
32,99.6
33,93.3
34,93.3
35,98.6
36,94.4
37,98.6
38,94.4
39,87.0
40,64.0
41,64.0
42,64.0
43,64.0
44,66.1
45,59.8
46,65.0
47,57.7
48,62.9
49,56.6
50,62.9
51,57.7
52,61.9
53,57.7
54,62.9
55,56.6
56,57.7
57,62.9
58,57.7
59,61.9
60,57.7
61,57.7
62,61.9
63,62.9
64,61.9
65,62.9
66,62.9
67,61.9
68,62.9
69,61.9
70,68.2
71,61.9
72,61.9
73,61.9
74,61.9
75,61.9
76,67.1
77,60.8
78,62.9
79,61.9
80,66.1
81,62.9
82,60.8
83,67.1
84,60.8
85,66.1
86,61.9
87,66.1
88,62.9
89,61.9
90,77.1
