t,mbps
40.0,35.7
41.0,34.6
42.0,29.4
43.0,33.6
44.0,31.5
45.0,31.5
46.0,31.5
47.0,34.6
48.0,36.7
49.0,36.7
50.0,35.7
51.0,35.7
52.0,35.7
53.0,35.7
54.0,36.7
55.0,34.6
56.0,35.7
57.0,36.7
58.0,37.7
59.0,34.6
60.0,35.7
61.0,37.7
62.0,34.6
63.0,34.6
64.0,31.5
65.0,34.6
66.0,30.4
67.0,33.6
68.0,32.5
69.0,32.5
70.0,32.5
71.0,31.5
72.0,33.6
73.0,32.5
74.0,34.6
75.0,33.6
76.0,31.5
77.0,31.5
78.0,31.5
79.0,34.6
80.0,33.6
81.0,31.5
82.0,31.5
83.0,32.5
84.0,30.4
85.0,31.5
86.0,31.5
87.0,33.6
88.0,31.5
89.0,33.6
90.0,33.6
