t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.003,1778981528.139846,NORMAL,False,0,0,0,0,0,0,0,0,0
1.058,1778981529.195423,NORMAL,False,0,0,0,0,0,0,0,0,0
2.076,1778981530.213338,NORMAL,False,0,0,0,0,0,0,0,0,0
3.106,1778981531.243461,NORMAL,False,0,0,0,0,0,0,0,0,0
4.124,1778981532.261657,NORMAL,False,0,0,0,0,0,0,0,0,0
5.15,1778981533.287647,NORMAL,False,0,0,0,0,0,0,0,0,0
6.168,1778981534.305664,NORMAL,False,0,0,0,0,0,0,0,0,0
7.186,1778981535.323733,NORMAL,False,0,0,0,0,0,0,0,0,0
8.204,1778981536.34154,NORMAL,False,0,0,0,0,0,0,0,0,0
9.221,1778981537.35861,NORMAL,False,0,0,0,0,0,0,0,0,0
10.239,1778981538.37589,NORMAL,False,0,0,0,0,0,0,0,0,0
11.258,1778981539.394998,NORMAL,False,0,0,0,0,0,0,0,0,0
12.284,1778981540.421348,NORMAL,False,0,0,0,0,0,0,0,0,0
13.302,1778981541.438919,NORMAL,False,0,0,0,0,0,0,0,0,0
14.326,1778981542.463507,NORMAL,False,0,0,0,0,0,0,0,0,0
15.344,1778981543.481721,NORMAL,False,0,0,0,0,0,0,0,0,0
16.389,1778981544.525981,NORMAL,False,0,0,0,0,0,0,0,0,0
17.407,1778981545.543964,NORMAL,False,0,0,0,0,0,0,0,0,0
18.424,1778981546.56181,NORMAL,False,0,0,0,0,0,0,0,0,0
19.442,1778981547.579046,NORMAL,False,0,0,0,0,1,460,0,0,0
20.495,1778981548.632138,METERING,False,277,276,1,0,0,0,1,3,0
21.513,1778981549.650246,METERING,False,577,576,1,0,0,0,1,3,0
22.539,1778981550.676362,METERING,False,877,876,1,0,0,0,1,3,0
23.565,1778981551.702031,METERING,False,1064,1063,1,0,0,0,1,3,0
24.586,1778981552.72365,METERING,False,1203,1202,1,0,0,0,1,3,0
25.629,1778981553.76594,METERING,False,1377,1376,1,0,0,0,1,3,0
26.647,1778981554.784121,METERING,False,1577,1576,1,0,0,0,1,3,0
27.67,1778981555.807477,METERING,False,1767,1766,1,0,0,0,1,3,0
28.69,1778981556.827488,LOCKDOWN,True,1934,1933,1,0,0,0,1,3,3
29.712,1778981557.849552,LOCKDOWN,True,2095,2094,1,0,0,0,1,3,3
30.734,1778981558.871003,LOCKDOWN,True,2277,2276,1,0,0,0,1,3,3
31.751,1778981559.888337,LOCKDOWN,True,2477,2476,1,0,0,0,1,3,3
32.768,1778981560.905425,LOCKDOWN,True,2777,2776,1,0,0,0,1,3,3
33.785,1778981561.922757,LOCKDOWN,True,3077,3076,1,0,0,0,1,3,3
34.81,1778981562.947193,LOCKDOWN,True,3277,3276,1,0,0,0,1,3,3
35.826,1778981563.963654,LOCKDOWN,True,3464,3463,1,0,0,0,1,3,3
36.858,1778981564.995489,LOCKDOWN,True,3601,3600,1,0,0,0,1,3,3
37.88,1778981566.017143,LOCKDOWN,True,3777,3776,1,0,0,0,1,3,3
38.905,1778981567.04237,LOCKDOWN,True,3964,3963,1,0,0,0,1,3,3
39.927,1778981568.064789,LOCKDOWN,True,4200,4199,1,0,0,0,1,3,3
40.946,1778981569.083467,LOCKDOWN,True,4476,4475,1,0,0,0,1,3,3
41.97,1778981570.107797,LOCKDOWN,True,4654,4653,1,0,0,0,1,3,3
42.99,1778981571.127463,LOCKDOWN,True,4806,4805,1,0,0,0,1,3,3
44.009,1778981572.14628,LOCKDOWN,True,4977,4976,1,0,0,0,1,3,3
45.026,1778981573.163642,LOCKDOWN,True,5177,5176,1,0,0,0,1,3,3
46.054,1778981574.191466,LOCKDOWN,True,5414,5413,1,0,0,0,1,3,3
47.092,1778981575.229374,LOCKDOWN,True,5777,5776,1,0,0,0,1,3,3
48.117,1778981576.254533,LOCKDOWN,True,6177,6176,1,0,0,0,1,3,3
49.134,1778981577.271704,LOCKDOWN,True,6438,6437,1,0,0,0,1,3,3
50.165,1778981578.302187,LOCKDOWN,True,6584,6583,1,0,0,0,1,3,3
51.189,1778981579.326698,LOCKDOWN,True,6977,6976,1,0,0,0,1,3,3
52.207,1778981580.344112,LOCKDOWN,True,7131,7130,1,0,0,0,1,3,3
53.224,1778981581.361617,LOCKDOWN,True,7277,7276,1,0,0,0,1,3,3
54.241,1778981582.378769,LOCKDOWN,True,7477,7476,1,0,0,0,1,3,3
55.258,1778981583.395468,LOCKDOWN,True,7767,7766,1,0,0,0,1,3,3
56.285,1778981584.422776,LOCKDOWN,True,7977,7976,1,0,0,0,1,3,3
57.31,1778981585.447365,LOCKDOWN,True,8166,8165,1,0,0,0,1,3,3
58.332,1778981586.469281,LOCKDOWN,True,8305,8304,1,0,0,0,1,3,3
59.368,1778981587.505267,LOCKDOWN,True,8476,8475,1,0,0,0,1,3,3
60.386,1778981588.523663,LOCKDOWN,True,8645,8644,1,0,0,0,1,3,3
61.411,1778981589.548426,LOCKDOWN,True,8776,8775,1,0,0,0,1,3,3
62.428,1778981590.565634,LOCKDOWN,True,9035,9034,1,0,0,0,1,3,3
63.454,1778981591.591151,LOCKDOWN,True,9276,9275,1,0,0,0,1,3,3
64.472,1778981592.608873,LOCKDOWN,True,9276,9275,1,0,0,0,1,3,3
65.489,1778981593.625991,LOCKDOWN,True,9276,9275,1,0,0,0,1,3,3
66.506,1778981594.643254,LOCKDOWN,True,9276,9275,1,0,0,0,1,3,3
67.524,1778981595.660939,LOCKDOWN,True,9276,9275,1,0,0,0,1,3,3
68.549,1778981596.686767,LOCKDOWN,True,9276,9275,1,0,0,0,1,3,3
69.568,1778981597.705092,LOCKDOWN,True,9276,9275,1,0,0,0,1,3,3
70.595,1778981598.732013,METERING,False,9276,9275,1,0,0,0,1,2,2
71.616,1778981599.753663,METERING,False,9276,9275,1,0,0,0,1,2,2
72.643,1778981600.780386,METERING,False,9276,9275,1,0,0,0,1,2,2
73.661,1778981601.798606,METERING,False,9276,9275,1,0,0,0,1,2,2
74.678,1778981602.815768,METERING,False,9276,9275,1,0,0,0,1,2,2
75.697,1778981603.834268,METERING,False,9276,9275,1,0,0,0,1,2,2
76.714,1778981604.851794,NORMAL,False,9276,9275,1,0,0,0,1,2,2
77.734,1778981605.871144,NORMAL,False,9276,9275,1,0,0,0,1,2,2
78.759,1778981606.896434,NORMAL,False,9276,9275,1,0,0,0,1,2,2
79.778,1778981607.914978,NORMAL,False,9276,9275,1,0,0,0,1,2,2
80.802,1778981608.939493,NORMAL,False,9276,9275,1,0,0,0,1,2,2
81.82,1778981609.957517,NORMAL,False,9276,9275,1,0,0,0,1,2,2
82.847,1778981610.983846,NORMAL,False,9276,9275,1,0,0,0,1,2,2
83.865,1778981612.002165,NORMAL,False,9276,9275,1,0,0,0,1,2,2
84.884,1778981613.021465,NORMAL,False,9276,9275,1,0,0,0,1,2,2
85.901,1778981614.038772,NORMAL,False,9276,9275,1,0,0,0,1,2,2
86.92,1778981615.057144,NORMAL,False,9276,9275,1,0,0,0,1,2,2
87.937,1778981616.0745,NORMAL,False,9276,9275,1,0,0,0,1,2,2
88.955,1778981617.092328,NORMAL,False,9276,9275,1,0,0,0,1,2,2
89.981,1778981618.118594,NORMAL,False,9276,9275,1,0,0,0,1,2,2
