event,t,timestamp,value
threshold_crossed,19.442,1778981547.579046,153.33
metering_started,20.495,1778981548.632138,3
attack_detected,20.495,1778981548.632138,266.67
mitigation_active,20.495,1778981548.632138,266.67
escalation_started,28.69,1778981556.827488,3
threshold_cleared,65.489,1778981593.625991,67.0
attack_cleared,70.595,1778981598.732013,0.0
valid_traffic_started,1.602,1778981528.375364258,both
attack_started,16.749,1778981543.522285622,scapy
attack_ended,63.951,1778981590.724015895,scapy
