PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=53 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=54 ttl=64 time=13.0 ms
264 bytes from 10.10.10.3: icmp_seq=55 ttl=64 time=13.8 ms
264 bytes from 10.10.10.3: icmp_seq=56 ttl=64 time=13.7 ms
264 bytes from 10.10.10.3: icmp_seq=57 ttl=64 time=13.6 ms
264 bytes from 10.10.10.3: icmp_seq=58 ttl=64 time=12.2 ms
264 bytes from 10.10.10.3: icmp_seq=59 ttl=64 time=7.19 ms
264 bytes from 10.10.10.3: icmp_seq=60 ttl=64 time=7.76 ms
264 bytes from 10.10.10.3: icmp_seq=61 ttl=64 time=7.70 ms
264 bytes from 10.10.10.3: icmp_seq=62 ttl=64 time=7.67 ms
264 bytes from 10.10.10.3: icmp_seq=63 ttl=64 time=7.87 ms
264 bytes from 10.10.10.3: icmp_seq=64 ttl=64 time=8.80 ms
264 bytes from 10.10.10.3: icmp_seq=65 ttl=64 time=8.79 ms
264 bytes from 10.10.10.3: icmp_seq=66 ttl=64 time=8.90 ms
264 bytes from 10.10.10.3: icmp_seq=67 ttl=64 time=9.68 ms
264 bytes from 10.10.10.3: icmp_seq=68 ttl=64 time=9.81 ms
264 bytes from 10.10.10.3: icmp_seq=69 ttl=64 time=9.84 ms
264 bytes from 10.10.10.3: icmp_seq=70 ttl=64 time=9.82 ms
264 bytes from 10.10.10.3: icmp_seq=71 ttl=64 time=9.74 ms
264 bytes from 10.10.10.3: icmp_seq=72 ttl=64 time=9.66 ms
264 bytes from 10.10.10.3: icmp_seq=73 ttl=64 time=9.81 ms
264 bytes from 10.10.10.3: icmp_seq=74 ttl=64 time=9.69 ms
264 bytes from 10.10.10.3: icmp_seq=75 ttl=64 time=9.70 ms
264 bytes from 10.10.10.3: icmp_seq=76 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=77 ttl=64 time=10.5 ms
264 bytes from 10.10.10.3: icmp_seq=78 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=79 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=80 ttl=64 time=12.4 ms
264 bytes from 10.10.10.3: icmp_seq=81 ttl=64 time=12.1 ms
264 bytes from 10.10.10.3: icmp_seq=82 ttl=64 time=11.9 ms
264 bytes from 10.10.10.3: icmp_seq=83 ttl=64 time=8.74 ms
264 bytes from 10.10.10.3: icmp_seq=84 ttl=64 time=7.94 ms
264 bytes from 10.10.10.3: icmp_seq=85 ttl=64 time=10.7 ms
264 bytes from 10.10.10.3: icmp_seq=86 ttl=64 time=13.3 ms
264 bytes from 10.10.10.3: icmp_seq=87 ttl=64 time=9.64 ms
264 bytes from 10.10.10.3: icmp_seq=88 ttl=64 time=11.6 ms
264 bytes from 10.10.10.3: icmp_seq=89 ttl=64 time=11.8 ms
264 bytes from 10.10.10.3: icmp_seq=90 ttl=64 time=9.29 ms
264 bytes from 10.10.10.3: icmp_seq=91 ttl=64 time=9.61 ms
264 bytes from 10.10.10.3: icmp_seq=92 ttl=64 time=8.33 ms
264 bytes from 10.10.10.3: icmp_seq=93 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=94 ttl=64 time=11.2 ms
264 bytes from 10.10.10.3: icmp_seq=95 ttl=64 time=9.04 ms
264 bytes from 10.10.10.3: icmp_seq=96 ttl=64 time=12.2 ms
264 bytes from 10.10.10.3: icmp_seq=97 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=98 ttl=64 time=8.23 ms
264 bytes from 10.10.10.3: icmp_seq=99 ttl=64 time=11.2 ms
264 bytes from 10.10.10.3: icmp_seq=100 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=101 ttl=64 time=8.48 ms
264 bytes from 10.10.10.3: icmp_seq=102 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=103 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=104 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=105 ttl=64 time=9.33 ms
264 bytes from 10.10.10.3: icmp_seq=106 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=107 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=108 ttl=64 time=13.2 ms
264 bytes from 10.10.10.3: icmp_seq=109 ttl=64 time=9.71 ms
264 bytes from 10.10.10.3: icmp_seq=110 ttl=64 time=10.5 ms
264 bytes from 10.10.10.3: icmp_seq=111 ttl=64 time=8.54 ms
264 bytes from 10.10.10.3: icmp_seq=112 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=113 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=114 ttl=64 time=12.2 ms
264 bytes from 10.10.10.3: icmp_seq=115 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=116 ttl=64 time=6.81 ms
264 bytes from 10.10.10.3: icmp_seq=117 ttl=64 time=14.1 ms
264 bytes from 10.10.10.3: icmp_seq=118 ttl=64 time=12.5 ms
264 bytes from 10.10.10.3: icmp_seq=119 ttl=64 time=14.7 ms
264 bytes from 10.10.10.3: icmp_seq=120 ttl=64 time=14.6 ms
264 bytes from 10.10.10.3: icmp_seq=121 ttl=64 time=13.2 ms
