event,t,timestamp,value
metering_started,21.489,1778992171.494394,1
threshold_crossed,21.489,1778992171.494394,304.67
attack_detected,21.489,1778992171.494394,304.67
mitigation_active,21.489,1778992171.494394,304.67
threshold_cleared,22.509,1778992172.513676,234.0
escalation_started,30.695,1778992180.699993,1
escalation_cleared,32.738,1778992182.742843,0
attack_cleared,32.738,1778992182.742843,188.0
valid_traffic_started,1.710,1778992150.301500337,both
attack_started,16.850,1778992165.441051339,scapy
attack_ended,64.057,1778992212.648488076,scapy
