t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.009,1778992346.010236,10.10.10.1,,0,100.0
0.009,1778992346.010236,10.10.10.2,,0,100.0
0.009,1778992346.010236,10.10.10.3,,0,100.0
11.128,1778992357.128583,10.10.10.1,,0,100.0
11.128,1778992357.128583,10.10.10.2,,0,100.0
11.128,1778992357.128583,10.10.10.3,,0,100.0
22.209,1778992368.21005,10.10.10.1,,0,100.0
22.209,1778992368.21005,10.10.10.2,,0,100.0
22.209,1778992368.21005,10.10.10.3,,0,100.0
33.298,1778992379.298976,10.10.10.1,,0,100.0
33.298,1778992379.298976,10.10.10.2,,0,100.0
33.298,1778992379.298976,10.10.10.3,,0,100.0
44.404,1778992390.405075,10.10.10.1,,0,100.0
44.404,1778992390.405075,10.10.10.2,,0,100.0
44.404,1778992390.405075,10.10.10.3,,0,100.0
55.499,1778992401.499586,10.10.10.1,,0,100.0
55.499,1778992401.499586,10.10.10.2,,0,100.0
55.499,1778992401.499586,10.10.10.3,,0,100.0
66.61,1778992412.61147,10.10.10.1,,0,100.0
66.61,1778992412.61147,10.10.10.2,,0,100.0
66.61,1778992412.61147,10.10.10.3,,0,100.0
77.694,1778992423.694874,10.10.10.1,,0,100.0
77.694,1778992423.694874,10.10.10.2,,0,100.0
77.694,1778992423.694874,10.10.10.3,,0,100.0
88.807,1778992434.807812,10.10.10.1,,0,100.0
88.807,1778992434.807812,10.10.10.2,,0,100.0
88.807,1778992434.807812,10.10.10.3,,0,100.0
