event,t,timestamp,value
metering_started,18.602,1778935473.505446,3
threshold_crossed,18.602,1778935473.505446,124.0
attack_detected,18.602,1778935473.505446,124.0
mitigation_active,18.602,1778935473.505446,124.0
escalation_started,26.856,1778935481.759017,3
threshold_cleared,28.893,1778935483.796574,98.33
threshold_crossed,29.91,1778935484.813813,120.0
threshold_cleared,64.851,1778935519.754576,80.33
attack_cleared,69.954,1778935524.857157,0.0
valid_traffic_started,1.591,1778935455.126616485,both
attack_started,16.702,1778935470.237741193,scapy
attack_ended,64.005,1778935517.540653746,scapy
