t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.009,1778935454.912731,128.110.97.129,1.14,1,0.0
0.009,1778935454.912731,128.110.97.130,1.2,1,0.0
0.009,1778935454.912731,128.110.97.131,1.2,1,0.0
5.123,1778935460.026624,128.110.97.129,0.786,1,0.0
5.123,1778935460.026624,128.110.97.130,0.993,1,0.0
5.123,1778935460.026624,128.110.97.131,0.891,1,0.0
10.242,1778935465.145486,128.110.97.129,1.03,1,0.0
10.242,1778935465.145486,128.110.97.130,0.754,1,0.0
10.242,1778935465.145486,128.110.97.131,1.0,1,0.0
15.36,1778935470.263764,128.110.97.129,0.928,1,0.0
15.36,1778935470.263764,128.110.97.130,0.779,1,0.0
15.36,1778935470.263764,128.110.97.131,0.803,1,0.0
20.567,1778935475.470506,128.110.97.129,0.802,1,0.0
20.567,1778935475.470506,128.110.97.130,0.841,1,0.0
20.567,1778935475.470506,128.110.97.131,0.656,1,0.0
25.719,1778935480.621988,128.110.97.129,0.965,1,0.0
25.719,1778935480.621988,128.110.97.130,0.86,1,0.0
25.719,1778935480.621988,128.110.97.131,0.752,1,0.0
30.849,1778935485.752453,128.110.97.129,0.8,1,0.0
30.849,1778935485.752453,128.110.97.130,0.739,1,0.0
30.849,1778935485.752453,128.110.97.131,0.73,1,0.0
35.987,1778935490.88988,128.110.97.129,1.02,1,0.0
35.987,1778935490.88988,128.110.97.130,0.897,1,0.0
35.987,1778935490.88988,128.110.97.131,0.697,1,0.0
41.118,1778935496.020963,128.110.97.129,0.829,1,0.0
41.118,1778935496.020963,128.110.97.130,0.719,1,0.0
41.118,1778935496.020963,128.110.97.131,0.778,1,0.0
46.267,1778935501.170006,128.110.97.129,1.01,1,0.0
46.267,1778935501.170006,128.110.97.130,0.873,1,0.0
46.267,1778935501.170006,128.110.97.131,0.728,1,0.0
51.392,1778935506.295111,128.110.97.129,0.872,1,0.0
51.392,1778935506.295111,128.110.97.130,0.824,1,0.0
51.392,1778935506.295111,128.110.97.131,0.783,1,0.0
56.535,1778935511.43815,128.110.97.129,1.06,1,0.0
56.535,1778935511.43815,128.110.97.130,0.781,1,0.0
56.535,1778935511.43815,128.110.97.131,0.773,1,0.0
61.681,1778935516.58424,128.110.97.129,0.944,1,0.0
61.681,1778935516.58424,128.110.97.130,0.963,1,0.0
61.681,1778935516.58424,128.110.97.131,0.864,1,0.0
66.805,1778935521.708364,128.110.97.129,0.873,1,0.0
66.805,1778935521.708364,128.110.97.130,0.993,1,0.0
66.805,1778935521.708364,128.110.97.131,0.994,1,0.0
71.91,1778935526.813315,128.110.97.129,0.908,1,0.0
71.91,1778935526.813315,128.110.97.130,1.03,1,0.0
71.91,1778935526.813315,128.110.97.131,0.938,1,0.0
