t,mbps
0,101.0
1,97.5
2,94.4
3,97.5
4,94.4
5,96.5
6,97.5
7,93.3
8,97.5
9,93.3
10,97.5
11,93.3
12,97.5
13,96.5
14,94.4
15,96.5
16,93.3
17,97.5
18,93.3
19,97.5
20,96.5
21,94.4
22,96.5
23,94.4
24,95.4
25,96.5
26,98.6
27,94.4
28,98.6
29,93.3
30,98.6
31,94.4
32,93.3
33,98.6
34,93.3
35,97.5
36,95.4
37,93.3
38,98.6
39,94.4
40,70.3
41,66.1
42,66.1
43,60.8
44,66.1
45,65.0
46,66.1
47,60.8
48,70.3
49,66.1
50,65.0
51,66.1
52,60.8
53,67.1
54,69.2
55,66.1
56,65.0
57,66.1
58,65.0
59,66.1
60,66.1
61,65.0
62,66.1
63,66.1
64,65.0
65,66.1
66,66.1
67,65.0
68,66.1
69,65.0
70,66.1
71,66.1
72,65.0
73,66.1
74,60.8
75,81.7
