t,rtt_ms
0.0,4.14
0.5,8.12
1.0,8.91
1.5,4.38
2.0,4.69
2.5,4.68
3.0,4.62
3.5,4.88
4.0,5.75
4.5,5.83
5.0,6.71
5.5,6.81
6.0,6.69
6.5,6.7
7.0,6.75
7.5,6.73
8.0,7.6
8.5,7.53
9.0,7.77
9.5,7.8
10.0,7.69
10.5,7.68
11.0,7.81
11.5,7.86
12.0,8.64
12.5,4.34
13.0,4.73
13.5,4.72
14.0,4.72
14.5,5.88
15.0,6.86
15.5,8.76
16.0,8.65
16.5,4.31
17.0,5.21
17.5,7.53
18.0,7.69
18.5,9.98
19.0,7.48
19.5,7.72
20.0,8.09
20.5,8.71
21.0,8.69
21.5,9.12
22.0,9.62
22.5,9.62
23.0,9.91
23.5,10.0
24.0,10.9
24.5,8.52
25.0,8.99
25.5,7.54
26.0,7.93
26.5,9.55
27.0,9.82
27.5,13.6
28.0,9.59
28.5,9.6
29.0,9.85
29.5,9.82
30.0,9.91
30.5,10.0
31.0,10.8
31.5,10.7
32.0,11.6
32.5,11.6
33.0,11.6
33.5,11.6
34.0,6.44
34.5,6.95
35.0,7.75
35.5,7.77
36.0,7.75
36.5,7.89
37.0,8.89
37.5,9.76
38.0,10.5
38.5,10.6
39.0,10.7
39.5,10.7
40.0,10.6
40.5,9.4
41.0,9.4
41.5,12.1
42.0,9.9
42.5,10.3
43.0,11.7
43.5,7.59
44.0,8.92
44.5,9.77
45.0,11.3
45.5,16.3
46.0,9.71
46.5,9.78
47.0,11.0
47.5,9.88
48.0,11.9
48.5,12.0
49.0,12.0
49.5,7.97
50.0,11.6
50.5,10.9
51.0,9.86
51.5,11.9
52.0,8.89
52.5,9.91
53.0,8.17
53.5,10.9
54.0,9.42
54.5,16.7
55.0,9.65
55.5,11.6
56.0,10.0
56.5,11.1
57.0,6.68
57.5,9.92
58.0,9.6
58.5,10.1
59.0,7.81
59.5,10.7
60.0,11.1
60.5,11.6
61.0,11.4
61.5,12.6
62.0,9.64
62.5,11.3
63.0,8.99
63.5,8.49
64.0,11.3
64.5,10.5
65.0,9.06
65.5,12.4
66.0,10.2
66.5,8.0
67.0,11.6
67.5,9.89
68.0,12.0
68.5,12.0
69.0,12.6
69.5,11.3
70.0,14.3
70.5,7.53
71.0,9.12
71.5,12.4
72.0,11.4
72.5,13.0
73.0,11.1
73.5,13.7
74.0,13.9
74.5,16.7
