event,t,timestamp,value
metering_started,21.478,1778992073.549577,1
threshold_crossed,21.478,1778992073.549577,338.0
attack_detected,21.478,1778992073.549577,338.0
mitigation_active,21.478,1778992073.549577,338.0
threshold_cleared,22.496,1778992074.567662,238.0
escalation_started,29.654,1778992081.726214,1
escalation_cleared,32.714,1778992084.785565,0
attack_cleared,32.714,1778992084.785565,157.67
valid_traffic_started,1.659,1778992052.286237643,both
attack_started,16.772,1778992067.399287903,scapy
attack_ended,64.008,1778992114.635263346,scapy
