t,mbps
40.0,26.2
41.0,25.2
42.0,25.2
43.0,24.1
44.0,24.1
45.0,25.2
46.0,23.1
47.0,24.1
48.0,25.2
49.0,26.2
50.0,23.1
51.0,25.2
52.0,24.1
53.0,25.2
54.0,23.1
55.0,25.2
56.0,23.1
57.0,26.2
58.0,24.1
59.0,23.1
60.0,25.2
61.0,24.1
62.0,23.1
63.0,25.2
64.0,24.1
65.0,24.1
66.0,25.2
67.0,25.2
68.0,25.2
69.0,24.1
70.0,25.2
71.0,25.2
72.0,25.2
73.0,23.1
74.0,26.2
75.0,24.1
76.0,24.1
77.0,24.1
78.0,25.2
79.0,23.1
80.0,24.1
81.0,25.2
82.0,24.1
83.0,24.1
84.0,25.2
85.0,24.1
86.0,22.0
87.0,22.0
88.0,19.9
89.0,22.0
90.0,24.2
