t,mbps
0,102.0
1,96.5
2,93.3
3,96.5
4,96.5
5,96.5
6,96.5
7,94.4
8,96.5
9,94.4
10,96.5
11,97.5
12,93.3
13,96.5
14,94.4
15,96.5
16,94.4
17,101.0
18,95.4
19,96.5
20,91.2
21,96.5
22,95.4
23,96.5
24,95.4
25,96.5
26,95.4
27,96.5
28,95.4
29,96.5
30,95.4
31,96.5
32,95.4
33,95.4
34,94.4
35,93.3
36,96.5
37,95.4
38,96.5
39,88.1
40,70.3
41,71.3
42,71.3
43,70.3
44,71.3
45,71.3
46,70.3
47,71.3
48,70.3
49,71.3
50,71.3
51,70.3
52,71.3
53,74.4
54,71.3
55,71.3
56,70.3
57,71.3
58,70.3
59,71.3
60,71.3
61,70.3
62,71.3
63,74.4
64,71.3
65,71.3
66,70.3
67,71.3
68,70.3
69,71.3
70,71.3
71,70.3
72,71.3
73,71.3
74,70.3
75,71.3
76,70.3
77,71.3
78,71.3
79,70.3
80,71.3
81,70.3
82,71.3
83,75.5
84,70.3
85,70.3
86,74.4
87,73.4
88,73.4
89,80.7
90,82.2
