event,t,timestamp,value
metering_started,19.451,1778980960.715509,3
threshold_crossed,19.451,1778980960.715509,198.67
attack_detected,19.451,1778980960.715509,198.67
mitigation_active,19.451,1778980960.715509,198.67
escalation_started,27.637,1778980968.901552,3
threshold_cleared,65.435,1778981006.699443,56.0
attack_cleared,70.543,1778981011.807725,0.0
valid_traffic_started,1.612,1778980941.512292353,both
attack_started,16.747,1778980956.647214255,scapy
attack_ended,63.962,1778981003.861832265,scapy
