t,rtt_ms
40.0,14.4
40.5,16.3
41.0,19.4
41.5,15.1
42.0,15.5
42.5,15.3
43.0,15.7
43.5,15.6
44.0,13.9
44.5,22.3
45.0,23.5
45.5,23.2
46.0,24.0
46.5,24.3
47.0,25.1
47.5,23.0
48.0,22.9
48.5,23.7
49.0,23.4
49.5,21.9
50.0,22.7
50.5,22.8
51.0,22.9
51.5,22.9
52.0,23.2
52.5,22.8
53.0,23.4
53.5,21.9
54.0,23.0
54.5,24.1
55.0,22.4
55.5,22.5
56.0,23.4
56.5,23.4
57.0,23.0
57.5,22.9
58.0,29.1
58.5,11.3
59.0,9.88
59.5,9.06
60.0,10.8
60.5,11.8
61.0,11.8
61.5,11.3
62.0,11.3
62.5,10.9
63.0,10.4
63.5,11.3
64.0,10.7
64.5,10.4
65.0,9.71
65.5,12.3
66.0,15.2
66.5,15.4
67.0,15.0
67.5,15.1
68.0,15.4
68.5,14.1
69.0,14.8
69.5,15.0
70.0,15.4
70.5,15.6
71.0,15.8
71.5,16.2
72.0,15.0
72.5,14.9
73.0,15.2
73.5,14.6
74.0,16.2
74.5,16.1
75.0,16.6
75.5,15.1
76.0,15.7
76.5,15.6
77.0,15.7
77.5,14.9
78.0,20.4
78.5,21.8
79.0,18.8
79.5,19.4
80.0,21.1
80.5,20.8
81.0,18.7
81.5,20.2
82.0,18.8
82.5,19.4
83.0,20.5
83.5,21.3
84.0,19.8
84.5,21.2
85.0,19.6
85.5,19.8
86.0,20.4
86.5,19.2
87.0,19.9
87.5,19.0
88.0,25.0
88.5,24.7
89.0,24.9
89.5,23.6
