t,mbps
0,102.0
1,96.5
2,95.4
3,94.4
4,96.5
5,96.5
6,93.3
7,99.6
8,93.3
9,96.5
10,94.4
11,98.6
12,95.4
13,94.4
14,95.4
15,94.4
16,101.0
17,93.3
18,98.6
19,94.4
20,93.3
21,98.6
22,93.3
23,98.6
24,94.4
25,93.3
26,98.6
27,94.4
28,98.6
29,93.3
30,94.4
31,98.6
32,93.3
33,94.4
34,98.6
35,93.3
36,98.6
37,94.4
38,93.3
39,89.1
40,56.6
41,60.8
42,55.6
43,59.8
44,74.4
45,71.3
46,71.3
47,70.3
48,71.3
49,70.3
50,75.5
51,71.3
52,70.3
53,71.3
54,70.3
55,71.3
56,75.5
57,74.4
58,78.6
59,72.4
60,78.6
61,79.7
62,73.4
63,81.8
64,74.4
65,69.2
66,60.8
67,59.8
68,59.8
69,58.7
70,57.7
71,59.8
72,58.7
73,61.9
74,57.7
75,57.7
76,56.6
77,72.4
78,74.4
79,74.4
80,74.4
81,69.2
82,74.4
83,74.4
84,69.2
85,74.4
86,68.2
87,74.4
88,74.4
89,75.5
90,80.8
