t,mbps
40.0,39.8
41.0,36.7
42.0,35.7
43.0,39.8
44.0,23.1
45.0,26.2
46.0,23.1
47.0,24.1
48.0,23.1
49.0,23.1
50.0,26.2
51.0,24.1
52.0,23.1
53.0,23.1
54.0,26.2
55.0,24.1
56.0,23.1
57.0,23.1
58.0,19.9
59.0,19.9
60.0,15.7
61.0,17.8
62.0,21.0
63.0,17.8
64.0,18.9
65.0,17.8
66.0,36.7
67.0,33.6
68.0,36.7
69.0,36.7
70.0,36.7
71.0,35.7
72.0,36.7
73.0,36.7
74.0,38.8
75.0,36.7
76.0,36.7
77.0,33.6
78.0,21.0
79.0,21.0
80.0,21.0
81.0,23.1
82.0,21.0
83.0,23.1
84.0,24.1
85.0,23.1
86.0,24.1
87.0,23.1
88.0,21.0
89.0,23.1
90.0,26.8
