t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.009,1778935139.823896,128.110.97.129,1.07,1,0.0
0.009,1778935139.823896,128.110.97.130,1.14,1,0.0
0.009,1778935139.823896,128.110.97.131,1.12,1,0.0
5.122,1778935144.936365,128.110.97.129,0.876,1,0.0
5.122,1778935144.936365,128.110.97.130,0.964,1,0.0
5.122,1778935144.936365,128.110.97.131,0.947,1,0.0
10.244,1778935150.058401,128.110.97.129,1.02,1,0.0
10.244,1778935150.058401,128.110.97.130,1.0,1,0.0
10.244,1778935150.058401,128.110.97.131,0.927,1,0.0
15.359,1778935155.174205,128.110.97.129,0.908,1,0.0
15.359,1778935155.174205,128.110.97.130,0.963,1,0.0
15.359,1778935155.174205,128.110.97.131,1.02,1,0.0
20.511,1778935160.325917,128.110.97.129,0.98,1,0.0
20.511,1778935160.325917,128.110.97.130,0.97,1,0.0
20.511,1778935160.325917,128.110.97.131,0.933,1,0.0
25.623,1778935165.438134,128.110.97.129,1.01,1,0.0
25.623,1778935165.438134,128.110.97.130,0.939,1,0.0
25.623,1778935165.438134,128.110.97.131,0.841,1,0.0
30.741,1778935170.555387,128.110.97.129,0.993,1,0.0
30.741,1778935170.555387,128.110.97.130,1.0,1,0.0
30.741,1778935170.555387,128.110.97.131,0.9,1,0.0
35.856,1778935175.670413,128.110.97.129,1.0,1,0.0
35.856,1778935175.670413,128.110.97.130,0.969,1,0.0
35.856,1778935175.670413,128.110.97.131,0.986,1,0.0
40.967,1778935180.782269,128.110.97.129,0.839,1,0.0
40.967,1778935180.782269,128.110.97.130,0.78,1,0.0
40.967,1778935180.782269,128.110.97.131,0.924,1,0.0
46.067,1778935185.882036,128.110.97.129,0.859,1,0.0
46.067,1778935185.882036,128.110.97.130,0.97,1,0.0
46.067,1778935185.882036,128.110.97.131,1.01,1,0.0
51.159,1778935190.97398,128.110.97.129,0.927,1,0.0
51.159,1778935190.97398,128.110.97.130,0.867,1,0.0
51.159,1778935190.97398,128.110.97.131,0.913,1,0.0
56.251,1778935196.065438,128.110.97.129,1.0,1,0.0
56.251,1778935196.065438,128.110.97.130,0.836,1,0.0
56.251,1778935196.065438,128.110.97.131,0.925,1,0.0
61.34,1778935201.154772,128.110.97.129,0.638,1,0.0
61.34,1778935201.154772,128.110.97.130,0.762,1,0.0
61.34,1778935201.154772,128.110.97.131,0.845,1,0.0
66.429,1778935206.243717,128.110.97.129,0.984,1,0.0
66.429,1778935206.243717,128.110.97.130,1.01,1,0.0
66.429,1778935206.243717,128.110.97.131,0.762,1,0.0
71.52,1778935211.334523,128.110.97.129,0.952,1,0.0
71.52,1778935211.334523,128.110.97.130,0.81,1,0.0
71.52,1778935211.334523,128.110.97.131,0.676,1,0.0
