t,mbps
0,103.0
1,94.4
2,97.5
3,93.3
4,96.5
5,97.5
6,93.3
7,97.5
8,97.5
9,94.4
10,102.0
11,94.4
12,93.3
13,99.6
14,93.3
15,94.4
16,98.6
17,94.4
18,93.3
19,99.6
20,93.3
21,94.4
22,98.6
23,94.4
24,93.3
25,98.6
26,94.4
27,93.3
28,99.6
29,93.3
30,94.4
31,98.6
32,94.4
33,93.3
34,99.6
35,93.3
36,99.6
37,93.3
38,94.4
39,98.6
40,59.8
41,62.9
42,65.0
43,57.7
44,61.9
45,59.8
46,64.0
47,61.9
48,58.7
49,62.9
50,58.7
51,64.0
52,62.9
53,57.7
54,58.7
55,59.8
56,62.9
57,62.9
58,60.8
59,65.0
60,62.9
61,61.9
62,61.9
63,62.9
64,59.8
65,66.1
66,60.8
67,62.9
68,61.9
69,60.8
70,59.8
71,67.1
72,59.8
73,58.7
74,62.9
75,80.0
