t,rtt_ms
40.0,6.04
40.5,7.41
41.0,8.53
41.5,8.39
42.0,9.14
42.5,11.6
43.0,6.61
43.5,9.65
44.0,6.03
44.5,9.18
45.0,9.94
45.5,8.58
46.0,8.57
46.5,9.13
47.0,7.88
47.5,8.77
48.0,13.5
48.5,9.77
49.0,11.2
49.5,11.7
50.0,9.48
50.5,11.6
51.0,8.71
51.5,9.89
52.0,7.29
52.5,11.8
53.0,11.6
53.5,12.3
54.0,6.96
54.5,12.6
55.0,14.2
55.5,7.74
56.0,8.23
56.5,8.43
57.0,8.72
57.5,8.94
58.0,10.8
58.5,10.3
59.0,10.7
59.5,12.3
60.0,6.71
60.5,11.0
61.0,8.27
61.5,8.68
62.0,12.5
62.5,8.55
63.0,11.4
63.5,7.73
64.0,5.8
64.5,7.86
65.0,14.3
65.5,8.37
66.0,6.31
66.5,8.75
67.0,7.55
67.5,11.5
68.0,8.16
68.5,12.0
69.0,12.6
69.5,12.8
70.0,9.91
70.5,11.2
71.0,9.38
71.5,9.79
72.0,9.74
72.5,10.9
73.0,10.5
73.5,13.1
74.0,11.3
74.5,11.5
