PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=37 ttl=64 time=9.81 ms
264 bytes from 10.10.10.3: icmp_seq=38 ttl=64 time=9.77 ms
264 bytes from 10.10.10.3: icmp_seq=39 ttl=64 time=9.71 ms
264 bytes from 10.10.10.3: icmp_seq=40 ttl=64 time=7.26 ms
264 bytes from 10.10.10.3: icmp_seq=41 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=42 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=43 ttl=64 time=8.23 ms
264 bytes from 10.10.10.3: icmp_seq=44 ttl=64 time=11.3 ms
264 bytes from 10.10.10.3: icmp_seq=45 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=46 ttl=64 time=7.35 ms
264 bytes from 10.10.10.3: icmp_seq=47 ttl=64 time=8.01 ms
264 bytes from 10.10.10.3: icmp_seq=48 ttl=64 time=8.83 ms
264 bytes from 10.10.10.3: icmp_seq=49 ttl=64 time=8.42 ms
264 bytes from 10.10.10.3: icmp_seq=50 ttl=64 time=9.02 ms
264 bytes from 10.10.10.3: icmp_seq=51 ttl=64 time=9.52 ms
264 bytes from 10.10.10.3: icmp_seq=52 ttl=64 time=9.86 ms
264 bytes from 10.10.10.3: icmp_seq=53 ttl=64 time=10.5 ms
264 bytes from 10.10.10.3: icmp_seq=54 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=55 ttl=64 time=12.3 ms
264 bytes from 10.10.10.3: icmp_seq=56 ttl=64 time=11.9 ms
264 bytes from 10.10.10.3: icmp_seq=57 ttl=64 time=7.53 ms
264 bytes from 10.10.10.3: icmp_seq=58 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=59 ttl=64 time=8.01 ms
264 bytes from 10.10.10.3: icmp_seq=60 ttl=64 time=9.36 ms
264 bytes from 10.10.10.3: icmp_seq=61 ttl=64 time=9.49 ms
264 bytes from 10.10.10.3: icmp_seq=62 ttl=64 time=9.46 ms
264 bytes from 10.10.10.3: icmp_seq=63 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=64 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=65 ttl=64 time=8.18 ms
264 bytes from 10.10.10.3: icmp_seq=66 ttl=64 time=8.86 ms
264 bytes from 10.10.10.3: icmp_seq=67 ttl=64 time=9.93 ms
264 bytes from 10.10.10.3: icmp_seq=68 ttl=64 time=10.5 ms
264 bytes from 10.10.10.3: icmp_seq=69 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=70 ttl=64 time=8.91 ms
264 bytes from 10.10.10.3: icmp_seq=71 ttl=64 time=8.91 ms
264 bytes from 10.10.10.3: icmp_seq=72 ttl=64 time=9.78 ms
264 bytes from 10.10.10.3: icmp_seq=73 ttl=64 time=9.80 ms
264 bytes from 10.10.10.3: icmp_seq=74 ttl=64 time=9.81 ms
264 bytes from 10.10.10.3: icmp_seq=75 ttl=64 time=7.32 ms
264 bytes from 10.10.10.3: icmp_seq=76 ttl=64 time=7.83 ms
264 bytes from 10.10.10.3: icmp_seq=77 ttl=64 time=10.2 ms
264 bytes from 10.10.10.3: icmp_seq=78 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=79 ttl=64 time=8.17 ms
264 bytes from 10.10.10.3: icmp_seq=80 ttl=64 time=9.85 ms
264 bytes from 10.10.10.3: icmp_seq=81 ttl=64 time=12.5 ms
264 bytes from 10.10.10.3: icmp_seq=82 ttl=64 time=13.2 ms
264 bytes from 10.10.10.3: icmp_seq=83 ttl=64 time=13.4 ms
264 bytes from 10.10.10.3: icmp_seq=84 ttl=64 time=10.1 ms
264 bytes from 10.10.10.3: icmp_seq=85 ttl=64 time=12.1 ms
