event,t,timestamp,value
metering_started,20.48,1778992268.495398,3
threshold_crossed,20.48,1778992268.495398,370.0
attack_detected,20.48,1778992268.495398,370.0
mitigation_active,20.48,1778992268.495398,370.0
threshold_cleared,23.558,1778992271.572702,223.0
escalation_started,28.674,1778992276.689372,3
attack_cleared,31.735,1778992279.750544,210.67
valid_traffic_started,1.688,1778992248.274295214,both
attack_started,16.825,1778992263.411242352,scapy
attack_ended,64.037,1778992310.623824858,scapy
