t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.003,1778992443.789677,NORMAL,False,0,0,0,0,0,0,0,0,0
1.061,1778992444.847143,NORMAL,False,0,0,0,0,0,0,0,0,0
2.079,1778992445.865223,NORMAL,False,0,0,0,0,0,0,0,0,0
3.117,1778992446.903592,NORMAL,False,0,0,0,0,0,0,0,0,0
4.135,1778992447.921634,NORMAL,False,0,0,0,0,0,0,0,0,0
5.161,1778992448.947753,NORMAL,False,0,0,0,0,0,0,0,0,0
6.179,1778992449.965374,NORMAL,False,0,0,0,0,0,0,0,0,0
7.197,1778992450.982978,NORMAL,False,0,0,0,0,0,0,0,0,0
8.214,1778992452.000865,NORMAL,False,0,0,0,0,0,0,0,0,0
9.233,1778992453.019376,NORMAL,False,0,0,0,0,0,0,0,0,0
10.251,1778992454.03698,NORMAL,False,0,0,0,0,0,0,0,0,0
11.269,1778992455.055819,NORMAL,False,0,0,0,0,0,0,0,0,0
12.295,1778992456.081813,NORMAL,False,0,0,0,0,0,0,0,0,0
13.313,1778992457.099545,NORMAL,False,0,0,0,0,0,0,0,0,0
14.339,1778992458.125801,NORMAL,False,0,0,0,0,0,0,0,0,0
15.357,1778992459.14366,NORMAL,False,0,0,0,0,0,0,0,0,0
16.394,1778992460.180039,NORMAL,False,0,0,0,0,0,0,0,0,0
17.411,1778992461.197383,NORMAL,False,0,0,0,0,0,0,0,0,0
18.43,1778992462.216231,NORMAL,False,0,0,0,0,0,0,0,0,0
19.447,1778992463.233351,NORMAL,False,0,0,0,0,0,1,0,0,0
20.465,1778992464.251456,NORMAL,False,0,0,0,0,1,812,0,0,0
21.487,1778992465.273698,METERING,False,179,178,1,0,0,0,1,3,0
22.508,1778992466.294738,METERING,False,467,466,1,0,0,0,1,3,0
23.533,1778992467.319504,METERING,False,659,658,1,0,0,0,1,3,0
24.551,1778992468.33712,METERING,False,819,818,1,0,0,0,1,3,0
25.58,1778992469.366364,METERING,False,979,978,1,0,0,0,1,3,0
26.597,1778992470.383559,METERING,False,1331,1330,1,0,0,0,1,3,0
27.626,1778992471.412694,METERING,False,1515,1514,1,0,0,0,1,3,0
28.654,1778992472.440225,METERING,False,1747,1746,1,0,0,0,1,3,0
29.671,1778992473.457618,LOCKDOWN,True,1886,1885,1,0,0,0,1,3,3
30.692,1778992474.478535,LOCKDOWN,True,2021,2020,1,0,0,0,1,3,3
31.713,1778992475.499478,LOCKDOWN,True,2163,2162,1,0,0,0,1,3,3
32.734,1778992476.520931,METERING,False,2394,2393,1,0,0,0,1,3,2
33.754,1778992477.540648,METERING,False,2547,2546,1,0,0,0,1,3,2
34.78,1778992478.56636,METERING,False,2686,2685,1,0,0,0,1,3,2
35.801,1778992479.586948,METERING,False,2859,2858,1,0,0,0,1,3,2
36.833,1778992480.619152,METERING,False,3183,3182,1,0,0,0,1,3,2
37.857,1778992481.643657,METERING,False,3539,3538,1,0,0,0,1,3,2
38.881,1778992482.667471,METERING,False,3826,3825,1,0,0,0,1,3,2
39.901,1778992483.687394,METERING,False,3955,3954,1,0,0,0,1,3,2
40.919,1778992484.704986,METERING,False,4101,4100,1,0,0,0,1,3,3
41.938,1778992485.724617,METERING,False,4435,4434,1,0,0,0,1,3,3
42.963,1778992486.749595,METERING,False,4691,4690,1,0,0,0,1,3,3
43.981,1778992487.76704,METERING,False,4851,4850,1,0,0,0,1,3,3
44.999,1778992488.785318,METERING,False,5111,5110,1,0,0,0,1,3,3
46.028,1778992489.81464,METERING,False,5459,5458,1,0,0,0,1,3,3
47.046,1778992490.832398,LOCKDOWN,True,5780,5779,1,0,0,0,1,3,3
48.073,1778992491.859797,LOCKDOWN,True,6021,6020,1,0,0,0,1,3,3
49.096,1778992492.882782,LOCKDOWN,True,6140,6139,1,0,0,0,1,3,3
50.13,1778992493.916559,LOCKDOWN,True,6468,6467,1,0,0,0,1,3,3
51.149,1778992494.935506,LOCKDOWN,True,6599,6598,1,0,0,0,1,3,3
52.169,1778992495.95547,LOCKDOWN,True,6717,6716,1,0,0,0,1,3,3
53.188,1778992496.974563,LOCKDOWN,True,6867,6866,1,0,0,0,1,3,3
54.205,1778992497.991462,METERING,False,7035,7034,1,0,0,0,1,3,2
55.232,1778992499.018507,METERING,False,7233,7232,1,0,0,0,1,3,2
56.253,1778992500.039672,METERING,False,7357,7356,1,0,0,0,1,3,2
57.284,1778992501.070353,METERING,False,7507,7506,1,0,0,0,1,3,2
58.301,1778992502.087684,METERING,False,7742,7741,1,0,0,0,1,3,2
59.334,1778992503.120107,METERING,False,7888,7887,1,0,0,0,1,3,2
60.353,1778992504.139703,NORMAL,False,8016,8015,1,0,0,0,1,3,2
61.386,1778992505.172805,NORMAL,False,8147,8146,1,0,0,0,1,3,2
62.404,1778992506.189957,NORMAL,False,8371,8370,1,0,0,0,1,3,2
63.421,1778992507.207182,NORMAL,False,8499,8498,1,0,0,0,1,3,2
64.438,1778992508.224779,NORMAL,False,8563,8562,1,0,0,0,1,3,2
65.456,1778992509.242035,NORMAL,False,8563,8562,1,0,0,0,1,3,2
66.473,1778992510.259508,NORMAL,False,8563,8562,1,0,0,0,1,3,2
67.49,1778992511.276888,NORMAL,False,8563,8562,1,0,0,0,1,3,2
68.517,1778992512.303078,NORMAL,False,8563,8562,1,0,0,0,1,3,2
69.534,1778992513.320405,NORMAL,False,8563,8562,1,0,0,0,1,3,2
70.56,1778992514.346237,NORMAL,False,8563,8562,1,0,0,0,1,3,2
71.579,1778992515.365774,NORMAL,False,8563,8562,1,0,0,0,1,3,2
72.605,1778992516.391913,NORMAL,False,8563,8562,1,0,0,0,1,3,2
73.623,1778992517.409466,NORMAL,False,8563,8562,1,0,0,0,1,3,2
74.64,1778992518.426519,NORMAL,False,8563,8562,1,0,0,0,1,3,2
75.658,1778992519.44439,NORMAL,False,8563,8562,1,0,0,0,1,3,2
76.675,1778992520.461766,NORMAL,False,8563,8562,1,0,0,0,1,3,2
77.693,1778992521.478965,NORMAL,False,8563,8562,1,0,0,0,1,3,2
