event,t,timestamp,value
metering_started,21.487,1778992465.273698,3
threshold_crossed,21.487,1778992465.273698,396.67
attack_detected,21.487,1778992465.273698,396.67
mitigation_active,21.487,1778992465.273698,396.67
threshold_cleared,23.533,1778992467.319504,272.67
escalation_started,29.671,1778992473.457618,3
attack_cleared,32.734,1778992476.520931,164.0
threshold_crossed,38.881,1778992482.667471,319.0
attack_detected,38.881,1778992482.667471,319.0
threshold_cleared,39.901,1778992483.687394,253.0
threshold_crossed,47.046,1778992490.832398,309.67
threshold_cleared,48.073,1778992491.859797,293.33
attack_cleared,54.205,1778992497.991462,141.33
valid_traffic_started,1.629,1778992444.034657925,both
attack_started,16.779,1778992459.184161977,scapy
attack_ended,64.018,1778992506.423768978,scapy
