PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=75 ttl=64 time=6.09 ms
264 bytes from 10.10.10.3: icmp_seq=76 ttl=64 time=6.46 ms
264 bytes from 10.10.10.3: icmp_seq=77 ttl=64 time=6.52 ms
264 bytes from 10.10.10.3: icmp_seq=78 ttl=64 time=7.12 ms
264 bytes from 10.10.10.3: icmp_seq=79 ttl=64 time=7.63 ms
264 bytes from 10.10.10.3: icmp_seq=80 ttl=64 time=7.66 ms
264 bytes from 10.10.10.3: icmp_seq=81 ttl=64 time=9.78 ms
264 bytes from 10.10.10.3: icmp_seq=82 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=83 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=84 ttl=64 time=11.9 ms
264 bytes from 10.10.10.3: icmp_seq=85 ttl=64 time=7.28 ms
264 bytes from 10.10.10.3: icmp_seq=86 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=87 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=88 ttl=64 time=6.99 ms
264 bytes from 10.10.10.3: icmp_seq=89 ttl=64 time=7.12 ms
264 bytes from 10.10.10.3: icmp_seq=90 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=91 ttl=64 time=8.95 ms
264 bytes from 10.10.10.3: icmp_seq=92 ttl=64 time=11.5 ms
264 bytes from 10.10.10.3: icmp_seq=93 ttl=64 time=9.71 ms
264 bytes from 10.10.10.3: icmp_seq=94 ttl=64 time=10.7 ms
264 bytes from 10.10.10.3: icmp_seq=95 ttl=64 time=9.41 ms
264 bytes from 10.10.10.3: icmp_seq=96 ttl=64 time=15.1 ms
264 bytes from 10.10.10.3: icmp_seq=97 ttl=64 time=9.02 ms
264 bytes from 10.10.10.3: icmp_seq=98 ttl=64 time=7.76 ms
264 bytes from 10.10.10.3: icmp_seq=99 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=100 ttl=64 time=13.0 ms
264 bytes from 10.10.10.3: icmp_seq=101 ttl=64 time=8.61 ms
264 bytes from 10.10.10.3: icmp_seq=102 ttl=64 time=6.89 ms
264 bytes from 10.10.10.3: icmp_seq=103 ttl=64 time=9.07 ms
264 bytes from 10.10.10.3: icmp_seq=104 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=105 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=106 ttl=64 time=12.5 ms
264 bytes from 10.10.10.3: icmp_seq=107 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=108 ttl=64 time=11.3 ms
264 bytes from 10.10.10.3: icmp_seq=109 ttl=64 time=6.21 ms
264 bytes from 10.10.10.3: icmp_seq=110 ttl=64 time=6.78 ms
264 bytes from 10.10.10.3: icmp_seq=111 ttl=64 time=10.2 ms
264 bytes from 10.10.10.3: icmp_seq=112 ttl=64 time=9.61 ms
264 bytes from 10.10.10.3: icmp_seq=113 ttl=64 time=11.4 ms
264 bytes from 10.10.10.3: icmp_seq=114 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=115 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=116 ttl=64 time=9.73 ms
264 bytes from 10.10.10.3: icmp_seq=117 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=118 ttl=64 time=12.1 ms
264 bytes from 10.10.10.3: icmp_seq=119 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=120 ttl=64 time=8.14 ms
264 bytes from 10.10.10.3: icmp_seq=121 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=122 ttl=64 time=7.93 ms
264 bytes from 10.10.10.3: icmp_seq=123 ttl=64 time=8.68 ms
264 bytes from 10.10.10.3: icmp_seq=124 ttl=64 time=9.57 ms
264 bytes from 10.10.10.3: icmp_seq=125 ttl=64 time=9.51 ms
264 bytes from 10.10.10.3: icmp_seq=126 ttl=64 time=5.90 ms
264 bytes from 10.10.10.3: icmp_seq=127 ttl=64 time=8.92 ms
264 bytes from 10.10.10.3: icmp_seq=128 ttl=64 time=7.48 ms
264 bytes from 10.10.10.3: icmp_seq=129 ttl=64 time=7.42 ms
264 bytes from 10.10.10.3: icmp_seq=130 ttl=64 time=7.84 ms
264 bytes from 10.10.10.3: icmp_seq=131 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=132 ttl=64 time=11.4 ms
264 bytes from 10.10.10.3: icmp_seq=133 ttl=64 time=6.91 ms
264 bytes from 10.10.10.3: icmp_seq=134 ttl=64 time=7.42 ms
264 bytes from 10.10.10.3: icmp_seq=135 ttl=64 time=13.0 ms
264 bytes from 10.10.10.3: icmp_seq=136 ttl=64 time=8.63 ms
264 bytes from 10.10.10.3: icmp_seq=137 ttl=64 time=8.90 ms
264 bytes from 10.10.10.3: icmp_seq=138 ttl=64 time=9.45 ms
264 bytes from 10.10.10.3: icmp_seq=139 ttl=64 time=9.78 ms
264 bytes from 10.10.10.3: icmp_seq=140 ttl=64 time=9.80 ms
264 bytes from 10.10.10.3: icmp_seq=141 ttl=64 time=11.6 ms
264 bytes from 10.10.10.3: icmp_seq=142 ttl=64 time=10.1 ms
264 bytes from 10.10.10.3: icmp_seq=143 ttl=64 time=7.89 ms
264 bytes from 10.10.10.3: icmp_seq=144 ttl=64 time=6.95 ms
264 bytes from 10.10.10.3: icmp_seq=145 ttl=64 time=7.61 ms
264 bytes from 10.10.10.3: icmp_seq=146 ttl=64 time=8.76 ms
264 bytes from 10.10.10.3: icmp_seq=147 ttl=64 time=8.12 ms
264 bytes from 10.10.10.3: icmp_seq=148 ttl=64 time=8.58 ms
264 bytes from 10.10.10.3: icmp_seq=149 ttl=64 time=9.13 ms
264 bytes from 10.10.10.3: icmp_seq=150 ttl=64 time=9.59 ms

--- 10.10.10.3 ping statistics ---
150 packets transmitted, 150 received, 0% packet loss, time 74654ms
rtt min/avg/max/mdev = 1.157/8.866/15.134/2.027 ms
