t,mbps
0,99.6
1,98.6
2,93.3
3,96.5
4,97.5
5,94.4
6,96.5
7,94.4
8,96.5
9,97.5
10,93.3
11,97.5
12,93.3
13,96.5
14,94.4
15,96.5
16,97.5
17,93.3
18,94.4
19,97.5
20,96.5
21,94.4
22,96.5
23,94.4
24,97.5
25,95.4
26,98.6
27,94.4
28,95.4
29,94.4
30,95.4
31,98.6
32,94.4
33,94.4
34,95.4
35,94.4
36,98.6
37,95.4
38,94.4
39,97.5
40,73.4
41,68.2
42,68.2
43,68.2
44,72.4
45,68.2
46,68.2
47,67.1
48,73.4
49,67.1
50,68.2
51,68.2
52,72.4
53,68.2
54,62.9
55,61.9
56,57.7
57,62.9
58,61.9
59,73.4
60,67.1
61,68.2
62,68.2
63,72.4
64,68.2
65,68.2
66,67.1
67,68.2
68,72.4
69,69.2
70,67.1
71,73.4
72,67.1
73,68.2
74,68.2
75,67.1
76,73.4
77,68.2
78,67.1
79,68.2
80,73.4
81,68.2
82,72.4
83,68.2
84,67.1
85,73.4
86,68.2
87,68.2
88,67.1
89,73.4
90,80.6
