t,mbps
40.0,29.4
41.0,27.3
42.0,25.2
43.0,25.2
44.0,28.3
45.0,25.2
46.0,28.3
47.0,25.2
48.0,26.2
49.0,25.2
50.0,26.2
51.0,27.3
52.0,27.3
53.0,26.2
54.0,33.6
55.0,33.6
56.0,34.6
57.0,33.6
58.0,33.6
59.0,27.3
60.0,25.2
61.0,27.3
62.0,27.3
63.0,25.2
64.0,27.3
65.0,26.2
66.0,28.3
67.0,26.2
68.0,26.2
69.0,27.3
70.0,25.2
71.0,26.2
72.0,27.3
73.0,27.3
74.0,25.2
75.0,28.3
76.0,25.2
77.0,26.2
78.0,28.3
79.0,27.3
80.0,24.1
81.0,25.2
82.0,26.2
83.0,25.2
84.0,27.3
85.0,27.3
86.0,27.3
87.0,27.3
88.0,24.1
89.0,26.2
90.0,27.2
