event,t,timestamp,value
metering_started,19.434,1778981449.695455,3
threshold_crossed,19.434,1778981449.695455,210.33
attack_detected,19.434,1778981449.695455,210.33
mitigation_active,19.434,1778981449.695455,210.33
escalation_started,28.696,1778981458.957703,3
threshold_cleared,65.481,1778981495.742998,66.67
attack_cleared,70.586,1778981500.847469,0.0
valid_traffic_started,1.608,1778981430.504619622,both
attack_started,16.748,1778981445.643978512,scapy
attack_ended,63.952,1778981492.848046269,scapy
