t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.002,1778981430.264185,NORMAL,False,0,0,0,0,0,0,0,0,0
1.058,1778981431.319543,NORMAL,False,0,0,0,0,0,0,0,0,0
2.076,1778981432.337748,NORMAL,False,0,0,0,0,0,0,0,0,0
3.105,1778981433.366217,NORMAL,False,0,0,0,0,0,0,0,0,0
4.122,1778981434.383669,NORMAL,False,0,0,0,0,0,0,0,0,0
5.148,1778981435.409526,NORMAL,False,0,0,0,0,0,0,0,0,0
6.166,1778981436.427277,NORMAL,False,0,0,0,0,0,0,0,0,0
7.183,1778981437.445051,NORMAL,False,0,0,0,0,0,0,0,0,0
8.201,1778981438.462268,NORMAL,False,0,0,0,0,0,0,0,0,0
9.218,1778981439.479279,NORMAL,False,0,0,0,0,0,0,0,0,0
10.235,1778981440.496251,NORMAL,False,0,0,0,0,0,0,0,0,0
11.252,1778981441.514084,NORMAL,False,0,0,0,0,0,0,0,0,0
12.28,1778981442.541386,NORMAL,False,0,0,0,0,0,0,0,0,0
13.298,1778981443.559266,NORMAL,False,0,0,0,0,0,0,0,0,0
14.323,1778981444.584289,NORMAL,False,0,0,0,0,0,0,0,0,0
15.341,1778981445.602316,NORMAL,False,0,0,0,0,0,0,0,0,0
16.381,1778981446.642819,NORMAL,False,0,0,0,0,0,0,0,0,0
17.399,1778981447.660197,NORMAL,False,0,0,0,0,0,0,0,0,0
18.417,1778981448.678816,NORMAL,False,0,0,0,0,0,0,0,0,0
19.434,1778981449.695455,METERING,False,43,42,1,0,0,0,1,3,0
20.488,1778981450.749915,METERING,False,336,335,1,0,0,0,1,3,0
21.517,1778981451.7791,METERING,False,725,724,1,0,0,0,1,3,0
22.539,1778981452.801058,METERING,False,902,901,1,0,0,0,1,3,0
23.565,1778981453.826547,METERING,False,1152,1151,1,0,0,0,1,3,0
24.582,1778981454.843624,METERING,False,1552,1551,1,0,0,0,1,3,0
25.617,1778981455.879078,METERING,False,1802,1801,1,0,0,0,1,3,0
26.635,1778981456.896784,METERING,False,2178,2177,1,0,0,0,1,3,0
