t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.002,1778981430.264185,NORMAL,,False,False,False,0.0,100,,
1.058,1778981431.319543,NORMAL,,False,False,False,0.0,100,,
2.076,1778981432.337748,NORMAL,,False,False,False,0.0,100,,
3.105,1778981433.366217,NORMAL,,False,False,False,0.0,100,,
4.122,1778981434.383669,NORMAL,,False,False,False,0.0,100,,
5.148,1778981435.409526,NORMAL,,False,False,False,0.0,100,,
6.166,1778981436.427277,NORMAL,,False,False,False,0.0,100,,
7.183,1778981437.445051,NORMAL,,False,False,False,0.0,100,,
8.201,1778981438.462268,NORMAL,,False,False,False,0.0,100,,
9.218,1778981439.479279,NORMAL,,False,False,False,0.0,100,,
10.235,1778981440.496251,NORMAL,,False,False,False,0.0,100,,
11.252,1778981441.514084,NORMAL,,False,False,False,0.0,100,,
12.28,1778981442.541386,NORMAL,,False,False,False,0.0,100,,
13.298,1778981443.559266,NORMAL,,False,False,False,0.0,100,,
14.323,1778981444.584289,NORMAL,,False,False,False,0.0,100,,
15.341,1778981445.602316,NORMAL,,False,False,False,0.0,100,,
16.381,1778981446.642819,NORMAL,,False,False,False,0.0,100,,
17.399,1778981447.660197,NORMAL,,False,False,False,0.0,100,,
18.417,1778981448.678816,NORMAL,,False,False,False,0.0,100,,
19.434,1778981449.695455,METERING,,True,True,False,210.33,100,1778981449.6902936,1778981449.6902936
20.488,1778981450.749915,METERING,,True,True,False,311.33,100,1778981449.6902936,1778981449.6902936
21.517,1778981451.7791,METERING,,True,True,False,443.67,100,1778981449.6902936,1778981449.6902936
22.539,1778981452.801058,METERING,,True,True,False,281.67,100,1778981449.6902936,1778981449.6902936
23.565,1778981453.826547,METERING,,True,True,False,266.67,100,1778981449.6902936,1778981449.6902936
24.582,1778981454.843624,METERING,,True,True,False,266.33,100,1778981449.6902936,1778981449.6902936
25.617,1778981455.879078,METERING,,True,True,False,300.0,100,1778981449.6902936,1778981449.6902936
26.635,1778981456.896784,METERING,,True,True,False,334.0,100,1778981449.6902936,1778981449.6902936
27.676,1778981457.937307,METERING,,True,True,False,327.67,100,1778981449.6902936,1778981449.6902936
28.696,1778981458.957703,LOCKDOWN,,True,True,False,358.67,100,1778981449.6902936,1778981449.6902936
29.714,1778981459.975829,LOCKDOWN,,True,True,False,350.0,100,1778981449.6902936,1778981449.6902936
30.731,1778981460.993032,LOCKDOWN,,True,True,False,350.0,100,1778981449.6902936,1778981449.6902936
31.749,1778981462.010559,LOCKDOWN,,True,True,False,336.33,100,1778981449.6902936,1778981449.6902936
32.78,1778981463.042063,LOCKDOWN,,True,True,False,280.0,100,1778981449.6902936,1778981449.6902936
33.802,1778981464.063364,LOCKDOWN,,True,True,False,207.0,100,1778981449.6902936,1778981449.6902936
34.826,1778981465.087676,LOCKDOWN,,True,True,False,166.67,100,1778981449.6902936,1778981449.6902936
35.846,1778981466.107685,LOCKDOWN,,True,True,False,170.0,100,1778981449.6902936,1778981449.6902936
36.874,1778981467.135465,LOCKDOWN,,True,True,False,167.67,100,1778981449.6902936,1778981449.6902936
37.892,1778981468.154091,LOCKDOWN,,True,True,False,133.33,100,1778981449.6902936,1778981449.6902936
38.917,1778981469.178667,LOCKDOWN,,True,True,False,133.33,100,1778981449.6902936,1778981449.6902936
39.935,1778981470.196224,LOCKDOWN,,True,True,False,143.0,100,1778981449.6902936,1778981449.6902936
40.953,1778981471.214386,LOCKDOWN,,True,True,False,146.33,100,1778981449.6902936,1778981449.6902936
41.973,1778981472.234211,LOCKDOWN,,True,True,False,150.0,100,1778981449.6902936,1778981449.6902936
42.992,1778981473.253345,LOCKDOWN,,True,True,False,150.0,100,1778981449.6902936,1778981449.6902936
44.01,1778981474.271491,LOCKDOWN,,True,True,False,152.67,100,1778981449.6902936,1778981449.6902936
45.03,1778981475.291658,LOCKDOWN,,True,True,False,148.33,100,1778981449.6902936,1778981449.6902936
46.057,1778981476.318665,LOCKDOWN,,True,True,False,161.33,100,1778981449.6902936,1778981449.6902936
47.075,1778981477.336463,LOCKDOWN,,True,True,False,224.33,100,1778981449.6902936,1778981449.6902936
48.108,1778981478.369433,LOCKDOWN,,True,True,False,260.0,100,1778981449.6902936,1778981449.6902936
49.125,1778981479.387105,LOCKDOWN,,True,True,False,242.0,100,1778981449.6902936,1778981449.6902936
50.15,1778981480.411528,LOCKDOWN,,True,True,False,184.0,100,1778981449.6902936,1778981449.6902936
51.167,1778981481.429098,LOCKDOWN,,True,True,False,233.33,100,1778981449.6902936,1778981449.6902936
52.184,1778981482.446183,LOCKDOWN,,True,True,False,296.33,100,1778981449.6902936,1778981449.6902936
