t,rtt_ms
0.0,1.28
0.5,7.12
1.0,6.64
1.5,7.07
2.0,7.86
2.5,6.37
3.0,4.12
3.5,7.55
4.0,7.73
4.5,5.45
5.0,8.12
5.5,8.98
6.0,7.0
6.5,3.77
7.0,6.5
7.5,6.57
8.0,4.32
8.5,4.95
9.0,5.77
9.5,6.66
10.0,6.8
10.5,6.88
11.0,7.61
11.5,7.89
12.0,8.77
12.5,8.79
13.0,8.81
13.5,8.87
14.0,4.17
14.5,4.82
15.0,4.8
15.5,5.59
16.0,5.88
16.5,7.46
17.0,7.71
17.5,7.7
18.0,7.85
18.5,7.73
19.0,7.87
19.5,8.69
20.0,8.8
20.5,8.72
21.0,8.72
21.5,8.84
22.0,9.59
22.5,9.72
23.0,9.75
23.5,9.64
24.0,9.55
24.5,9.85
25.0,5.35
25.5,5.58
26.0,5.94
26.5,6.67
27.0,6.79
27.5,7.3
28.0,7.85
28.5,8.73
29.0,8.78
29.5,8.74
30.0,9.79
30.5,5.17
31.0,5.61
31.5,5.62
32.0,6.13
32.5,6.72
33.0,6.91
33.5,7.72
34.0,7.79
34.5,8.04
35.0,8.69
35.5,8.84
36.0,9.68
36.5,9.72
37.0,9.84
37.5,9.79
38.0,5.11
38.5,5.77
39.0,6.68
39.5,7.06
40.0,14.8
40.5,6.03
41.0,10.5
41.5,10.7
42.0,14.0
42.5,10.0
43.0,8.37
43.5,10.1
44.0,11.6
44.5,8.2
45.0,8.83
45.5,6.63
46.0,8.02
46.5,11.1
47.0,10.8
47.5,11.3
48.0,8.26
48.5,10.3
49.0,11.5
49.5,11.0
50.0,12.5
50.5,7.72
51.0,10.4
51.5,8.6
52.0,7.08
52.5,11.5
53.0,7.59
53.5,10.8
54.0,9.45
54.5,9.71
55.0,11.8
55.5,7.83
56.0,11.1
56.5,11.7
57.0,12.0
57.5,12.5
58.0,8.76
58.5,11.8
59.0,12.2
59.5,10.6
60.0,9.53
60.5,12.6
61.0,10.0
61.5,7.33
62.0,11.5
62.5,10.2
63.0,12.0
63.5,10.2
64.0,12.9
64.5,11.8
65.0,9.03
65.5,9.89
66.0,10.7
66.5,7.24
67.0,9.24
67.5,7.45
68.0,13.0
68.5,9.26
69.0,6.39
69.5,11.5
70.0,11.4
70.5,12.3
71.0,12.8
71.5,13.9
72.0,11.4
72.5,8.21
73.0,8.25
73.5,10.5
74.0,9.29
74.5,11.1
75.0,10.2
75.5,12.2
76.0,8.71
76.5,9.51
77.0,8.54
77.5,11.6
78.0,10.9
78.5,5.28
79.0,5.71
79.5,9.02
80.0,9.14
80.5,10.1
81.0,9.22
81.5,9.21
82.0,10.2
82.5,7.82
83.0,7.65
83.5,7.11
84.0,9.48
84.5,11.6
85.0,11.7
85.5,10.6
86.0,6.17
86.5,10.6
87.0,10.9
87.5,6.85
88.0,10.2
88.5,9.78
89.0,9.59
89.5,6.11
