PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=83 ttl=64 time=0.555 ms
264 bytes from 10.10.10.3: icmp_seq=84 ttl=64 time=0.354 ms
264 bytes from 10.10.10.3: icmp_seq=85 ttl=64 time=3.24 ms
264 bytes from 10.10.10.3: icmp_seq=86 ttl=64 time=2.07 ms
264 bytes from 10.10.10.3: icmp_seq=87 ttl=64 time=0.685 ms
264 bytes from 10.10.10.3: icmp_seq=88 ttl=64 time=0.352 ms
264 bytes from 10.10.10.3: icmp_seq=90 ttl=64 time=3.45 ms
264 bytes from 10.10.10.3: icmp_seq=91 ttl=64 time=0.398 ms
264 bytes from 10.10.10.3: icmp_seq=92 ttl=64 time=0.306 ms
264 bytes from 10.10.10.3: icmp_seq=93 ttl=64 time=1.32 ms
264 bytes from 10.10.10.3: icmp_seq=94 ttl=64 time=0.349 ms
264 bytes from 10.10.10.3: icmp_seq=95 ttl=64 time=0.679 ms
264 bytes from 10.10.10.3: icmp_seq=96 ttl=64 time=0.852 ms
264 bytes from 10.10.10.3: icmp_seq=97 ttl=64 time=1.99 ms
264 bytes from 10.10.10.3: icmp_seq=98 ttl=64 time=2.59 ms
264 bytes from 10.10.10.3: icmp_seq=99 ttl=64 time=0.812 ms
264 bytes from 10.10.10.3: icmp_seq=100 ttl=64 time=2.24 ms
264 bytes from 10.10.10.3: icmp_seq=101 ttl=64 time=2.85 ms
264 bytes from 10.10.10.3: icmp_seq=102 ttl=64 time=2.05 ms
264 bytes from 10.10.10.3: icmp_seq=103 ttl=64 time=2.97 ms
264 bytes from 10.10.10.3: icmp_seq=104 ttl=64 time=2.41 ms
264 bytes from 10.10.10.3: icmp_seq=105 ttl=64 time=0.763 ms
264 bytes from 10.10.10.3: icmp_seq=106 ttl=64 time=0.711 ms
264 bytes from 10.10.10.3: icmp_seq=107 ttl=64 time=2.70 ms
