t,mbps
0,103.0
1,94.4
2,95.4
3,96.5
4,96.5
5,96.5
6,96.5
7,94.4
8,95.4
9,98.6
10,95.4
11,94.4
12,95.4
13,95.4
14,94.4
15,98.6
16,95.4
17,94.4
18,95.4
19,94.4
20,95.4
21,97.5
22,95.4
23,94.4
24,95.4
25,98.6
26,95.4
27,92.3
28,96.5
29,95.4
30,96.5
31,95.4
32,95.4
33,96.5
34,95.4
35,96.5
36,95.4
37,96.5
38,95.4
39,93.3
40,70.3
41,62.9
42,61.9
43,61.9
44,66.1
45,61.9
46,66.1
47,66.1
48,65.0
49,62.9
50,66.1
51,67.1
52,65.0
53,66.1
54,70.3
55,67.1
56,65.0
57,67.1
58,65.0
59,70.3
60,66.1
61,66.1
62,70.3
63,66.1
64,69.2
65,68.2
66,67.1
67,68.2
68,67.1
69,71.3
70,69.2
71,66.1
72,68.2
73,62.9
74,65.0
75,66.1
76,65.0
77,64.0
78,66.1
79,62.9
80,68.2
81,62.9
82,66.1
83,62.9
84,69.2
85,62.9
86,67.1
87,65.0
88,60.8
89,67.1
90,79.2
