t,rtt_ms
40.0,12.6
40.5,15.2
41.0,11.9
41.5,14.2
42.0,12.1
42.5,11.8
43.0,9.33
43.5,8.55
44.0,8.37
44.5,9.21
45.0,9.62
45.5,9.03
46.0,10.2
46.5,11.7
47.0,9.89
47.5,7.83
48.0,11.9
48.5,8.79
49.0,9.27
49.5,10.2
50.0,12.5
50.5,11.1
51.0,9.07
51.5,13.4
52.0,10.5
52.5,11.7
53.0,12.7
53.5,11.7
54.0,14.0
54.5,11.3
55.0,10.5
55.5,9.41
56.0,11.9
56.5,12.9
57.0,13.0
57.5,10.3
58.0,12.9
58.5,10.8
59.0,9.23
59.5,14.1
60.0,11.1
60.5,9.34
61.0,12.2
61.5,10.4
62.0,11.6
62.5,9.27
63.0,9.53
63.5,12.1
64.0,11.8
64.5,12.7
65.0,6.98
65.5,8.7
66.0,12.0
66.5,9.31
67.0,13.1
67.5,11.7
68.0,10.1
68.5,11.6
69.0,11.5
69.5,10.6
70.0,10.5
70.5,12.2
71.0,12.8
71.5,13.7
72.0,9.57
72.5,8.9
73.0,8.06
73.5,9.95
74.0,9.68
74.5,7.92
75.0,9.01
75.5,12.5
76.0,6.54
76.5,9.58
77.0,9.83
77.5,10.2
78.0,10.7
78.5,9.31
79.0,11.0
79.5,8.21
80.0,11.4
80.5,7.15
81.0,13.3
81.5,10.6
82.0,11.2
82.5,9.9
83.0,10.1
83.5,13.7
84.0,10.0
84.5,8.54
85.0,8.21
85.5,8.4
86.0,12.9
86.5,11.2
87.0,6.32
87.5,11.5
88.0,10.2
88.5,8.13
89.0,8.57
89.5,8.46
