t,mbps
40.0,39.8
41.0,33.6
42.0,32.5
43.0,31.5
44.0,31.5
45.0,31.5
46.0,31.5
47.0,31.5
48.0,28.3
49.0,31.5
50.0,29.4
51.0,31.5
52.0,27.3
53.0,29.4
54.0,28.3
55.0,29.4
56.0,29.4
57.0,27.3
58.0,29.4
59.0,27.3
60.0,30.4
61.0,27.3
62.0,27.3
63.0,29.4
64.0,27.3
65.0,27.3
66.0,29.4
67.0,24.1
68.0,27.3
69.0,27.3
70.0,27.3
71.0,27.3
72.0,31.5
73.0,30.4
74.0,29.4
75.0,31.5
76.0,31.5
77.0,29.4
78.0,31.5
79.0,28.3
80.0,31.5
81.0,31.5
82.0,29.4
83.0,33.6
84.0,29.4
85.0,28.3
86.0,31.5
87.0,31.5
88.0,31.5
89.0,31.5
90.0,29.9
