event,t,timestamp,value
threshold_crossed,20.462,1778981255.198536,150.0
attack_detected,20.462,1778981255.198536,150.0
mitigation_active,20.462,1778981255.198536,150.0
metering_started,21.481,1778981256.217208,1
escalation_started,28.647,1778981263.383461,1
threshold_cleared,64.41,1778981299.146503,92.33
attack_cleared,69.504,1778981304.240967,0.0
valid_traffic_started,1.614,1778981234.984314152,both
attack_started,16.756,1778981250.125833662,scapy
attack_ended,63.947,1778981297.317347643,scapy
