event,t,timestamp,value
metering_started,19.453,1778981352.073267,3
threshold_crossed,19.453,1778981352.073267,297.67
attack_detected,19.453,1778981352.073267,297.67
mitigation_active,19.453,1778981352.073267,297.67
escalation_started,28.675,1778981361.295416,3
threshold_cleared,65.484,1778981398.104437,72.67
attack_cleared,70.587,1778981403.207709,0.0
valid_traffic_started,1.603,1778981332.861548554,both
attack_started,16.728,1778981347.986280682,scapy
attack_ended,63.974,1778981395.232005792,scapy
