t,rtt_ms
0.0,0.772
0.5,8.85
1.0,8.92
1.5,4.27
2.0,4.95
2.5,6.11
3.0,6.87
3.5,5.23
4.0,8.59
4.5,8.57
5.0,5.8
5.5,9.07
6.0,6.97
6.5,7.4
7.0,7.6
7.5,7.93
8.0,6.46
8.5,9.06
9.0,9.65
9.5,7.61
10.0,4.96
10.5,5.55
11.0,5.92
11.5,9.62
12.0,9.73
12.5,9.83
13.0,9.6
13.5,9.94
14.0,5.24
14.5,5.77
15.0,7.18
15.5,4.78
16.0,4.67
16.5,4.87
17.0,9.48
17.5,10.3
18.0,10.9
18.5,9.49
19.0,11.1
19.5,10.0
20.0,10.8
20.5,11.0
21.0,7.85
21.5,12.9
22.0,11.5
22.5,8.92
23.0,10.0
23.5,11.0
24.0,11.4
24.5,11.7
25.0,11.9
25.5,12.5
26.0,10.4
26.5,13.0
27.0,13.8
27.5,13.7
28.0,13.6
28.5,12.2
29.0,7.19
29.5,7.76
30.0,7.7
30.5,7.67
31.0,7.87
31.5,8.8
32.0,8.79
32.5,8.9
33.0,9.68
33.5,9.81
34.0,9.84
34.5,9.82
35.0,9.74
35.5,9.66
36.0,9.81
36.5,9.69
37.0,9.7
37.5,10.0
38.0,10.5
38.5,10.8
39.0,10.8
39.5,12.4
40.0,12.1
40.5,11.9
41.0,8.74
41.5,7.94
42.0,10.7
42.5,13.3
43.0,9.64
43.5,11.6
44.0,11.8
44.5,9.29
45.0,9.61
45.5,8.33
46.0,10.3
46.5,11.2
47.0,9.04
47.5,12.2
48.0,10.4
48.5,8.23
49.0,11.2
49.5,10.9
50.0,8.48
50.5,10.4
51.0,12.0
51.5,11.1
52.0,9.33
52.5,10.4
53.0,10.4
53.5,13.2
54.0,9.71
54.5,10.5
55.0,8.54
55.5,10.3
56.0,10.0
56.5,12.2
57.0,11.7
57.5,6.81
58.0,14.1
58.5,12.5
59.0,14.7
59.5,14.6
60.0,13.2
60.5,13.9
61.0,15.7
61.5,11.0
62.0,12.3
62.5,11.6
63.0,14.0
63.5,14.6
64.0,12.9
64.5,12.4
65.0,13.5
65.5,12.2
66.0,12.9
66.5,16.1
67.0,14.9
67.5,10.9
68.0,12.0
68.5,12.4
69.0,14.4
69.5,13.0
70.0,12.3
70.5,9.71
71.0,10.9
71.5,8.85
72.0,14.9
72.5,16.0
73.0,14.4
73.5,13.8
74.0,15.5
74.5,15.7
75.0,13.3
75.5,13.4
76.0,14.7
76.5,14.7
77.0,15.2
77.5,13.0
78.0,16.2
78.5,11.4
79.0,11.8
79.5,11.5
80.0,12.8
80.5,13.1
81.0,14.7
81.5,12.0
82.0,13.7
82.5,16.1
83.0,13.9
83.5,14.8
84.0,19.1
84.5,17.8
85.0,19.8
85.5,18.1
86.0,18.8
86.5,19.6
87.0,17.6
87.5,20.5
88.0,16.7
88.5,16.8
89.0,19.8
89.5,17.8
