event,t,timestamp,value
metering_started,18.416,1778981742.437568,3
threshold_crossed,18.416,1778981742.437568,172.0
attack_detected,18.416,1778981742.437568,172.0
mitigation_active,18.416,1778981742.437568,172.0
escalation_started,26.629,1778981750.650821,3
threshold_cleared,65.48,1778981789.501174,40.0
attack_cleared,70.586,1778981794.607354,0.0
valid_traffic_started,1.643,1778981724.261901240,both
attack_started,16.786,1778981739.404177684,scapy
attack_ended,64.006,1778981786.624572389,scapy
