t,mbps
0,101.0
1,97.5
2,97.5
3,93.3
4,97.5
5,93.3
6,97.5
7,93.3
8,97.5
9,96.5
10,94.4
11,96.5
12,94.4
13,96.5
14,94.4
15,96.5
16,93.3
17,96.5
18,97.5
19,96.5
20,94.4
21,101.0
22,93.3
23,98.6
24,94.4
25,93.3
26,99.6
27,93.3
28,94.4
29,98.6
30,93.3
31,98.6
32,94.4
33,93.3
34,98.6
35,93.3
36,94.4
37,98.6
38,93.3
39,84.9
40,61.9
41,65.0
42,60.8
43,66.1
44,66.1
45,65.0
46,60.8
47,66.1
48,60.8
49,66.1
50,66.1
51,60.8
52,65.0
53,66.1
54,60.8
55,66.1
56,60.8
57,66.1
58,65.0
59,75.5
60,70.3
61,66.1
62,70.3
63,70.3
64,70.3
65,70.3
66,71.3
67,70.3
68,70.3
69,70.3
70,75.5
71,70.3
72,70.3
73,70.3
74,70.3
75,75.5
76,70.3
77,70.3
78,70.3
79,70.3
80,75.5
81,70.3
82,70.3
83,70.3
84,70.3
85,70.3
86,70.3
87,71.3
88,70.3
89,71.3
90,80.4
