t,rtt_ms
40.0,10.9
40.5,12.3
41.0,11.6
41.5,14.0
42.0,14.9
42.5,9.24
43.0,9.83
43.5,8.85
44.0,12.3
44.5,8.85
45.0,9.41
45.5,10.2
46.0,10.1
46.5,13.1
47.0,12.1
47.5,11.4
48.0,12.5
48.5,10.1
49.0,10.9
49.5,8.91
50.0,9.81
50.5,9.59
51.0,12.4
51.5,11.7
52.0,10.0
52.5,10.5
53.0,11.2
53.5,13.6
54.0,11.6
54.5,11.2
55.0,8.83
55.5,11.6
56.0,13.3
56.5,9.16
57.0,7.61
57.5,10.3
58.0,9.81
58.5,11.9
59.0,11.1
59.5,12.6
60.0,12.0
60.5,11.5
61.0,13.2
61.5,12.6
62.0,15.4
62.5,13.8
63.0,13.7
63.5,15.2
64.0,14.0
64.5,14.7
65.0,13.9
65.5,14.3
66.0,11.8
66.5,14.1
67.0,14.3
67.5,13.3
68.0,12.1
68.5,12.7
69.0,12.7
69.5,13.8
70.0,15.0
70.5,12.3
71.0,12.7
71.5,12.5
72.0,14.4
72.5,13.7
73.0,12.7
73.5,12.1
74.0,14.1
74.5,13.2
75.0,13.5
75.5,13.7
76.0,14.9
76.5,11.8
77.0,15.3
77.5,13.8
78.0,15.0
78.5,11.4
79.0,13.9
79.5,14.8
80.0,13.0
80.5,13.7
81.0,14.9
81.5,11.6
82.0,11.8
82.5,12.6
83.0,9.29
83.5,15.2
84.0,16.0
84.5,18.5
85.0,19.8
85.5,19.9
86.0,19.7
86.5,17.4
87.0,18.3
87.5,16.7
88.0,16.8
88.5,17.3
89.0,18.8
89.5,17.9
