run_dir,name,rate,size,mitigation,attack_method,duration,attack_delay,attack_length,avg_cpu_attack,max_cpu_attack,avg_packetin_attack,max_packetin_attack,avg_rtt_existing_attack_ms,avg_rtt_new_attack_ms,avg_iperf_existing_mbps,avg_iperf_new_mbps,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,max_escalated_ports,lockdown_packetin_reduction_pct,lockdown_total_pps_reduction_pct,lockdown_avg_escalated_ports
/users/viliang/Self_Healing_SDN_Controller/results/rate_5000_scapy_mit_on_20260516_202410,rate_5000_scapy_mit_on,5000.0,256.0,on,scapy,90.0,15.0,45.0,23.3898,32.34,228.8936,392.0,11.5645,14.12,74.8198,37.5706,11066.0,11065.0,1.0,3.0,14.8539,65.0139,2.6341
/users/viliang/Self_Healing_SDN_Controller/results/rate_600_scapy_mit_on_20260516_201601,rate_600_scapy_mit_on,600.0,256.0,on,scapy,90.0,15.0,45.0,15.063,20.41,143.8559,240.0,13.3968,17.6657,78.9407,30.4294,6920.0,6919.0,1.0,3.0,-39.3169,71.8871,2.6341
/users/viliang/Self_Healing_SDN_Controller/results/rate_800_scapy_mit_on_20260516_222151,rate_800_scapy_mit_on,800.0,256.0,on,scapy,90.0,15.0,45.0,1.63,1.63,0.0,0.0,9.5353,9.2419,10.3069,17.9298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/rate_800_scapy_mit_on_20260516_223046,rate_800_scapy_mit_on,800.0,256.0,on,scapy,90.0,15.0,45.0,18.2061,26.09,185.9239,466.0,12.2887,9.6339,76.0044,35.4824,8257.0,8256.0,1.0,3.0,49.1735,81.6921,1.825
/users/viliang/Self_Healing_SDN_Controller/results/rate_900_scapy_mit_on_20260516_201739,rate_900_scapy_mit_on,900.0,256.0,on,scapy,90.0,15.0,45.0,17.093,22.47,171.8173,274.33,9.9687,9.5027,77.3077,33.2431,8242.0,8241.0,1.0,1.0,-66.4639,69.9891,0.881
/users/viliang/Self_Healing_SDN_Controller/results/scapy_attack_mit_off_20260516_191904,scapy_attack_mit_off,3000.0,256.0,off,scapy,90.0,15.0,45.0,39.2595,50.09,359.7575,495.67,14.8642,13.8063,76.6681,34.7569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/scapy_attack_mit_off_20260516_201245,scapy_attack_mit_off,3000.0,256.0,off,scapy,90.0,15.0,45.0,38.6636,49.04,367.5607,660.0,15.0823,8.866,80.3835,27.6863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/scapy_attack_mit_on_20260516_192041,scapy_attack_mit_on,3000.0,256.0,on,scapy,90.0,15.0,45.0,22.0155,30.22,210.8786,370.0,10.1384,10.9841,81.589,25.5078,10254.0,10253.0,1.0,3.0,-40.9647,60.924,2.625
/users/viliang/Self_Healing_SDN_Controller/results/scapy_attack_mit_on_20260516_201423,scapy_attack_mit_on,3000.0,256.0,on,scapy,90.0,15.0,45.0,18.5273,28.32,164.9623,310.0,20.5441,13.2897,90.1077,10.2322,8059.0,8058.0,1.0,3.0,-10.9129,73.5881,2.625
/users/viliang/Self_Healing_SDN_Controller/results/size_256_scapy_mit_on_20260516_193522,size_256_scapy_mit_on,1200.0,256.0,on,scapy,90.0,15.0,45.0,17.5459,24.83,177.5068,352.0,10.3347,11.0073,80.4374,27.5627,8432.0,8431.0,1.0,3.0,-7.2162,77.6345,2.6429
/users/viliang/Self_Healing_SDN_Controller/results/size_256_scapy_mit_on_20260516_202904,size_256_scapy_mit_on,1200.0,256.0,on,scapy,90.0,15.0,45.0,17.8423,26.05,182.9777,418.67,11.2548,12.0976,73.2176,40.5314,8553.0,8552.0,1.0,3.0,-2.6487,79.3343,2.6429
/users/viliang/Self_Healing_SDN_Controller/results/size_512_scapy_mit_on_20260516_193700,size_512_scapy_mit_on,1200.0,512.0,on,scapy,90.0,15.0,45.0,17.8161,23.94,179.8564,278.67,16.5391,20.3888,80.8538,26.8098,8254.0,8253.0,1.0,3.0,17.0817,28.7404,2.7073
/users/viliang/Self_Healing_SDN_Controller/results/size_512_scapy_mit_on_20260516_203042,size_512_scapy_mit_on,1200.0,512.0,on,scapy,90.0,15.0,45.0,17.1934,22.6,170.6816,320.0,23.7604,14.511,79.7637,28.7882,7831.0,7830.0,1.0,4.0,20.7625,69.7994,3.1707
/users/viliang/Self_Healing_SDN_Controller/results/size_64_scapy_mit_on_20260516_193344,size_64_scapy_mit_on,1200.0,64.0,on,scapy,90.0,15.0,45.0,17.7857,24.91,184.6364,267.33,8.0546,9.6817,66.067,53.3059,9249.0,9248.0,1.0,3.0,-85.0411,67.9264,2.6341
/users/viliang/Self_Healing_SDN_Controller/results/size_64_scapy_mit_on_20260516_202726,size_64_scapy_mit_on,1200.0,64.0,on,scapy,90.0,15.0,45.0,18.183,24.76,190.0909,334.67,10.0676,11.7767,71.3868,43.9059,9078.0,9077.0,1.0,3.0,-2.0682,81.5423,2.561
